season,location_name,iso2_code,target_group,vaccine_coverage,source,is_reference
2015-2016,Germany,DE,65+y,36.5,EUROSTAT,False
2014-2015,Germany,DE,65+y,38.1,EUROSTAT,False
2013-2014,Germany,DE,65+y,37.2,EUROSTAT,False
2012-2013,Germany,DE,65+y,58.6,EUROSTAT,False
2021-2022,Germany,DE,65+y,43.3,EUROSTAT,True
2020-2021,Estonia,EE,65+y,21.1,EUROSTAT,False
2019-2020,Estonia,EE,65+y,12,EUROSTAT,False
2018-2019,Estonia,EE,65+y,15,EUROSTAT,False
2017-2018,Estonia,EE,65+y,10.2,EUROSTAT,False
2016-2017,Estonia,EE,65+y,4.8,EUROSTAT,False
2015-2016,Estonia,EE,65+y,2.8,EUROSTAT,False
2014-2015,Estonia,EE,65+y,1.6,EUROSTAT,False
2013-2014,Estonia,EE,65+y,1.4,EUROSTAT,False
2012-2013,Estonia,EE,65+y,1.1,EUROSTAT,False
2021-2022,Estonia,EE,65+y,31.5,EUROSTAT,True
2020-2021,Ireland,IE,65+y,75.4,EUROSTAT,False
2019-2020,Ireland,IE,65+y,70.5,EUROSTAT,False
2018-2019,Ireland,IE,65+y,58.9,EUROSTAT,False
2017-2018,Ireland,IE,65+y,68.5,EUROSTAT,False
2016-2017,Ireland,IE,65+y,57.6,EUROSTAT,False
2015-2016,Ireland,IE,65+y,54.5,EUROSTAT,False
2014-2015,Ireland,IE,65+y,55.4,EUROSTAT,False
2013-2014,Ireland,IE,65+y,60.2,EUROSTAT,False
2012-2013,Ireland,IE,65+y,59.4,EUROSTAT,False
2021-2022,Ireland,IE,65+y,75.4,EUROSTAT,True
2020-2021,Greece,GR,65+y,65.27,EUROSTAT,False
2019-2020,Greece,GR,65+y,73.51,EUROSTAT,False
2018-2019,Greece,GR,65+y,58.92,EUROSTAT,False
2017-2018,Greece,GR,65+y,51.03,EUROSTAT,False
2013-2014,Greece,GR,65+y,48.91,EUROSTAT,False
2021-2022,Greece,GR,65+y,66.0,EUROSTAT,True
2020-2021,Spain,ES,65+y,67.7,EUROSTAT,False
2019-2020,Spain,ES,65+y,54.7,EUROSTAT,False
2018-2019,Spain,ES,65+y,54.3,EUROSTAT,False
2017-2018,Spain,ES,65+y,55.7,EUROSTAT,False
2016-2017,Spain,ES,65+y,55.5,EUROSTAT,False
2015-2016,Spain,ES,65+y,56.1,EUROSTAT,False
2014-2015,Spain,ES,65+y,56.2,EUROSTAT,False
2013-2014,Spain,ES,65+y,56.2,EUROSTAT,False
2012-2013,Spain,ES,65+y,57,EUROSTAT,False
2021-2022,Spain,ES,65+y,69.0,EUROSTAT,True
2020-2021,France,FR,65+y,59.9,EUROSTAT,False
2019-2020,France,FR,65+y,52,EUROSTAT,False
2018-2019,France,FR,65+y,51,EUROSTAT,False
2017-2018,France,FR,65+y,49.7,EUROSTAT,False
2016-2017,France,FR,65+y,50,EUROSTAT,False
2015-2016,France,FR,65+y,50.8,EUROSTAT,False
2014-2015,France,FR,65+y,48.5,EUROSTAT,False
2013-2014,France,FR,65+y,51.9,EUROSTAT,False
2012-2013,France,FR,65+y,53.1,EUROSTAT,False
2021-2022,France,FR,65+y,56.8,EUROSTAT,True
2020-2021,Croatia,HR,65+y,39,EUROSTAT,False
2019-2020,Croatia,HR,65+y,34,EUROSTAT,False
2018-2019,Croatia,HR,65+y,29,EUROSTAT,False
2017-2018,Croatia,HR,65+y,23,EUROSTAT,False
2016-2017,Croatia,HR,65+y,21,EUROSTAT,False
2015-2016,Croatia,HR,65+y,21.5,EUROSTAT,False
2014-2015,Croatia,HR,65+y,19,EUROSTAT,False
2013-2014,Croatia,HR,65+y,21,EUROSTAT,False
2012-2013,Croatia,HR,65+y,23,EUROSTAT,False
2021-2022,Croatia,HR,65+y,29,EUROSTAT,True
2020-2021,Italy,IT,65+y,65.3,EUROSTAT,False
2019-2020,Italy,IT,65+y,54.6,EUROSTAT,False
2018-2019,Italy,IT,65+y,53.1,EUROSTAT,False
2017-2018,Italy,IT,65+y,52.7,EUROSTAT,False
2016-2017,Italy,IT,65+y,52,EUROSTAT,False
2015-2016,Italy,IT,65+y,49.9,EUROSTAT,False
2014-2015,Italy,IT,65+y,48.6,EUROSTAT,False
2013-2014,Italy,IT,65+y,55.4,EUROSTAT,False
2012-2013,Italy,IT,65+y,54.2,EUROSTAT,False
2021-2022,Italy,IT,65+y,58.1,EUROSTAT,True
2020-2021,Cyprus,CY,65+y,43.3,EUROSTAT,False
2019-2020,Cyprus,CY,65+y,38,EUROSTAT,False
2018-2019,Cyprus,CY,65+y,25.9,EUROSTAT,False
2017-2018,Cyprus,CY,65+y,:,EUROSTAT,False
2013-2014,Cyprus,CY,65+y,32.4,EUROSTAT,False
2021-2022,Cyprus,CY,65+y,42.2,EUROSTAT,True
2020-2021,Latvia,LV,65+y,7.7,EUROSTAT,False
2019-2020,Latvia,LV,65+y,9.1,EUROSTAT,False
2018-2019,Latvia,LV,65+y,11.65,EUROSTAT,False
2017-2018,Latvia,LV,65+y,7.73,EUROSTAT,False
2016-2017,Latvia,LV,65+y,6.88,EUROSTAT,False
2015-2016,Latvia,LV,65+y,4.26,EUROSTAT,False
2014-2015,Latvia,LV,65+y,2.46,EUROSTAT,False
2013-2014,Latvia,LV,65+y,2.81,EUROSTAT,False
2012-2013,Latvia,LV,65+y,3.07,EUROSTAT,False
2021-2022,Latvia,LV,65+y,16.9,EUROSTAT,True
2020-2021,Lithuania,LT,65+y,26.25,EUROSTAT,False
2019-2020,Lithuania,LT,65+y,21.5,EUROSTAT,False
2018-2019,Lithuania,LT,65+y,14.8,EUROSTAT,False
2017-2018,Lithuania,LT,65+y,13.4,EUROSTAT,False
2016-2017,Lithuania,LT,65+y,11.3,EUROSTAT,False
2015-2016,Lithuania,LT,65+y,9.6,EUROSTAT,False
2014-2015,Lithuania,LT,65+y,10.3,EUROSTAT,False
2013-2014,Lithuania,LT,65+y,9.8,EUROSTAT,False
2012-2013,Lithuania,LT,65+y,9.7,EUROSTAT,False
2021-2022,Lithuania,LT,65+y,21.47,EUROSTAT,True
2020-2021,Luxembourg,LU,65+y,44.21,EUROSTAT,False
2019-2020,Luxembourg,LU,65+y,46.3,EUROSTAT,False
2018-2019,Luxembourg,LU,65+y,40.37,EUROSTAT,False
2017-2018,Luxembourg,LU,65+y,39.76,EUROSTAT,False
2016-2017,Luxembourg,LU,65+y,37.61,EUROSTAT,False
2015-2016,Luxembourg,LU,65+y,37.97,EUROSTAT,False
2014-2015,Luxembourg,LU,65+y,39.54,EUROSTAT,False
2013-2014,Luxembourg,LU,65+y,40.1,EUROSTAT,False
2012-2013,Luxembourg,LU,65+y,42.08,EUROSTAT,False
2021-2022,Luxembourg,LU,65+y,43.35,EUROSTAT,True
2020-2021,Hungary,HU,65+y,30.5,EUROSTAT,False
2019-2020,Hungary,HU,65+y,23.6,EUROSTAT,False
2018-2019,Hungary,HU,65+y,24.1,EUROSTAT,False
2017-2018,Hungary,HU,65+y,26.8,EUROSTAT,False
2016-2017,Hungary,HU,65+y,24,EUROSTAT,False
2015-2016,Hungary,HU,65+y,26,EUROSTAT,False
2014-2015,Hungary,HU,65+y,27.1,EUROSTAT,False
2013-2014,Hungary,HU,65+y,29,EUROSTAT,False
2012-2013,Hungary,HU,65+y,30.9,EUROSTAT,False
2021-2022,Hungary,HU,65+y,22.3,EUROSTAT,True
2020-2021,Malta,MT,65+y,58.6,EUROSTAT,False
2019-2020,Malta,MT,65+y,67,EUROSTAT,False
2018-2019,Malta,MT,65+y,52.9,EUROSTAT,False
2017-2018,Malta,MT,65+y,51.4,EUROSTAT,False
2016-2017,Malta,MT,65+y,55.5,EUROSTAT,False
2013-2014,Malta,MT,65+y,53.7,EUROSTAT,False
2021-2022,Malta,MT,65+y,42.4,EUROSTAT,True
2020-2021,Netherlands,NL,65+y,72.6,EUROSTAT,False
2019-2020,Netherlands,NL,65+y,67.9,EUROSTAT,False
2018-2019,Netherlands,NL,65+y,61.3,EUROSTAT,False
2017-2018,Netherlands,NL,65+y,60.3,EUROSTAT,False
2016-2017,Netherlands,NL,65+y,60.4,EUROSTAT,False
2015-2016,Netherlands,NL,65+y,62.9,EUROSTAT,False
2014-2015,Netherlands,NL,65+y,66.5,EUROSTAT,False
2013-2014,Netherlands,NL,65+y,67.8,EUROSTAT,False
2012-2013,Netherlands,NL,65+y,72.2,EUROSTAT,False
2021-2022,Netherlands,NL,65+y,68.4,EUROSTAT,True
2018-2019,Austria,AT,65+y,18.3,EUROSTAT,True
2013-2014,Austria,AT,65+y,20.3,EUROSTAT,False
2020-2021,Poland,PL,65+y,10,EUROSTAT,False
2018-2019,Poland,PL,65+y,10.4,EUROSTAT,False
2013-2014,Poland,PL,65+y,9.7,EUROSTAT,False
2021-2022,Poland,PL,65+y,8.6,EUROSTAT,True
2019-2020,Portugal,PT,65+y,60.7,EUROSTAT,False
2018-2019,Portugal,PT,65+y,56,EUROSTAT,False
2017-2018,Portugal,PT,65+y,60.8,EUROSTAT,False
2016-2017,Portugal,PT,65+y,57.5,EUROSTAT,False
2015-2016,Portugal,PT,65+y,50.1,EUROSTAT,False
2014-2015,Portugal,PT,65+y,50.9,EUROSTAT,False
2013-2014,Portugal,PT,65+y,49.9,EUROSTAT,False
2012-2013,Portugal,PT,65+y,44.9,EUROSTAT,False
2021-2022,Portugal,PT,65+y,75.8,EUROSTAT,True
2020-2021,Romania,RO,65+y,34.8,EUROSTAT,False
2019-2020,Romania,RO,65+y,22.6,EUROSTAT,False
2018-2019,Romania,RO,65+y,20.5,EUROSTAT,False
2017-2018,Romania,RO,65+y,15.9,EUROSTAT,False
2016-2017,Romania,RO,65+y,7.6,EUROSTAT,False
2015-2016,Romania,RO,65+y,9.8,EUROSTAT,False
2014-2015,Romania,RO,65+y,7.2,EUROSTAT,False
2013-2014,Romania,RO,65+y,8.6,EUROSTAT,False
2012-2013,Romania,RO,65+y,14.6,EUROSTAT,False
2021-2022,Romania,RO,65+y,22.1,EUROSTAT,True
2020-2021,Slovenia,SI,65+y,24.5,EUROSTAT,False
2019-2020,Slovenia,SI,65+y,27,EUROSTAT,False
2018-2019,Slovenia,SI,65+y,18.8,EUROSTAT,False
2017-2018,Slovenia,SI,65+y,12.9,EUROSTAT,False
2016-2017,Slovenia,SI,65+y,11.8,EUROSTAT,False
2015-2016,Slovenia,SI,65+y,9.78,EUROSTAT,False
2014-2015,Slovenia,SI,65+y,10.41,EUROSTAT,False
2013-2014,Slovenia,SI,65+y,10.85,EUROSTAT,False
2012-2013,Slovenia,SI,65+y,12.8,EUROSTAT,False
2021-2022,Slovenia,SI,65+y,19.1,EUROSTAT,True
