date,location_name,iso2_code,target_group,dose,doses_administered
2023-09-30,Slovenia,SI,Age70_79,,13
2023-09-30,Slovakia,SK,Age70_79,,435
2023-09-30,Belgium,BE,Age80+,,117275
2023-09-30,Bulgaria,BG,Age80+,,432
2023-09-30,Cyprus,CY,Age80+,,885
2023-09-30,Czechia,CZ,Age80+,,2547
2023-09-30,Estonia,EE,Age80+,,17
2023-09-30,Greece,GR,Age80+,,214
2023-09-30,Spain,ES,Age80+,,24228
2023-09-30,Finland,FI,Age80+,,35
2023-09-30,Hungary,HU,Age80+,,27
2023-09-30,Ireland,IE,Age80+,,12619
2023-09-30,Iceland,IS,Age80+,,0
2023-09-30,Italy,IT,Age80+,,54
2023-09-30,Liechtenstein,LI,Age80+,,0
2023-09-30,Luxembourg,LU,Age80+,,7
2023-09-30,Malta,MT,Age80+,,1
2023-09-30,Netherlands,NL,Age80+,,5
2023-09-30,Norway,NO,Age80+,,3111
2023-09-30,Poland,PL,Age80+,,444
2023-09-30,Portugal,PT,Age80+,,7236
2023-09-30,Sweden,SE,Age80+,,1210
2023-09-30,Slovenia,SI,Age80+,,3
2023-09-30,Slovakia,SK,Age80+,,126
2023-09-30,Bulgaria,BG,Age<18,,22
2023-09-30,Spain,ES,Age<18,,4
2023-09-30,Bulgaria,BG,AgeUNK,,0
2023-09-30,Estonia,EE,AgeUNK,,0
2023-09-30,Greece,GR,AgeUNK,,0
2023-09-30,Spain,ES,AgeUNK,,0
2023-09-30,Finland,FI,AgeUNK,,0
2023-09-30,Hungary,HU,AgeUNK,,0
2023-09-30,Ireland,IE,AgeUNK,,0
2023-09-30,Iceland,IS,AgeUNK,,0
2023-09-30,Liechtenstein,LI,AgeUNK,,0
2023-09-30,Malta,MT,AgeUNK,,0
2023-09-30,Portugal,PT,AgeUNK,,0
2023-09-30,Cyprus,CY,Chronic,,43
2023-09-30,Czechia,CZ,Chronic,,1350
2023-09-30,Greece,GR,Chronic,,0
2023-09-30,Spain,ES,Chronic,,42
2023-09-30,Ireland,IE,Chronic,,15
2023-09-30,Iceland,IS,Chronic,,0
2023-09-30,Malta,MT,Chronic,,0
2023-09-30,Portugal,PT,Chronic,,705
2023-09-30,Belgium,BE,HCW,,27847
2023-09-30,Bulgaria,BG,HCW,,210
2023-09-30,Cyprus,CY,HCW,,0
2023-09-30,Czechia,CZ,HCW,,1315
2023-09-30,Greece,GR,HCW,,31
2023-09-30,Spain,ES,HCW,,196
2023-09-30,Ireland,IE,HCW,,53
2023-09-30,Iceland,IS,HCW,,0
2023-09-30,Malta,MT,HCW,,0
2023-09-30,Norway,NO,HCW,,58
2023-09-30,Portugal,PT,HCW,,1770
2023-09-30,Greece,GR,Pregnant,,0
2023-09-30,Spain,ES,Pregnant,,1
2023-09-30,Ireland,IE,Pregnant,,889
2023-09-30,Iceland,IS,Pregnant,,0
2023-09-30,Malta,MT,Pregnant,,0
2023-09-30,Portugal,PT,Pregnant,,24
2023-10-31,Belgium,BE,ALL,,1213965
2023-10-31,Bulgaria,BG,ALL,,19688
2023-10-31,Cyprus,CY,ALL,,3085
2023-10-31,Czechia,CZ,ALL,,181787
2023-10-31,Germany,DE,ALL,,1492488
2023-10-31,Denmark,DK,ALL,,759455
2023-10-31,Estonia,EE,ALL,,15328
2023-10-31,Greece,GR,ALL,,25998
2023-10-31,Spain,ES,ALL,,2709556
2023-10-31,Finland,FI,ALL,,12955
2023-10-31,France,FR,ALL,,2288152
2023-10-31,Hungary,HU,ALL,,682
2023-10-31,Ireland,IE,ALL,,395888
2023-10-31,Iceland,IS,ALL,,16643
2023-10-31,Liechtenstein,LI,ALL,,205
2023-10-31,Luxembourg,LU,ALL,,6898
2023-10-31,Malta,MT,ALL,,555
2023-10-31,Netherlands,NL,ALL,,1082124
2023-10-31,Norway,NO,ALL,,305416
2023-10-31,Poland,PL,ALL,,6466
2023-10-31,Portugal,PT,ALL,,1080001
2023-10-31,Sweden,SE,ALL,,99824
2023-10-31,Slovenia,SI,ALL,,13703
2023-10-31,Slovakia,SK,ALL,,9903
2023-10-31,Bulgaria,BG,Age18_24,,112
2023-10-31,Bulgaria,BG,Age25_49,,1732
2023-10-31,Bulgaria,BG,Age50_59,,1703
2023-10-31,Belgium,BE,Age60+,,907760
2023-10-31,Cyprus,CY,Age60+,,2026
2023-10-31,Czechia,CZ,Age60+,,153801
2023-10-31,Germany,DE,Age60+,,1278047
2023-10-31,Greece,GR,Age60+,,19068
2023-10-31,Spain,ES,Age60+,,2421666
2023-10-31,Finland,FI,Age60+,,11806
2023-10-31,France,FR,Age60+,,2007387
2023-10-31,Liechtenstein,LI,Age60+,,164
2023-10-31,Lithuania,LT,Age60+,,19313
2023-10-31,Netherlands,NL,Age60+,,987228
2023-10-31,Norway,NO,Age60+,,278543
2023-10-31,Portugal,PT,Age60+,,947825
2023-10-31,Sweden,SE,Age60+,,85959
2023-10-31,Slovakia,SK,Age60+,,7411
2023-10-31,Belgium,BE,Age60_69,,336726
2023-10-31,Bulgaria,BG,Age60_69,,4828
2023-10-31,Cyprus,CY,Age60_69,,520
2023-10-31,Czechia,CZ,Age60_69,,41967
2023-10-31,Denmark,DK,Age60_69,,196898
2023-10-31,Estonia,EE,Age60_69,,4039
2023-10-31,Greece,GR,Age60_69,,7504
2023-10-31,Spain,ES,Age60_69,,489343
2023-10-31,Finland,FI,Age60_69,,2727
2023-10-31,France,FR,Age60_69,,514850
2023-10-31,Hungary,HU,Age60_69,,154
2023-10-31,Ireland,IE,Age60_69,,97765
