location_name,iso2_code,scenario,target_group,total_doses,coverage,population
Liechtenstein,LI,lower_vax_coverage,Age60+,522,4.715447154471545,11070
Luxembourg,LU,lower_vax_coverage,Age60+,12906,9.081186056657144,142118
Malta,MT,lower_vax_coverage,Age60+,1066,0.7786990028854232,136895
Netherlands,NL,lower_vax_coverage,Age60+,2097708,42.85077825434966,4895379
Norway,NO,lower_vax_coverage,Age60+,521110,38.3738800469226,1357981
Poland,PL,lower_vax_coverage,Age60+,457260,4.522693434755504,10110347
Portugal,PT,lower_vax_coverage,Age60+,1440758,46.23206361522301,3116361
Sweden,SE,lower_vax_coverage,Age60+,1505165,54.34593443096476,2769600
Slovenia,SI,lower_vax_coverage,Age60+,25604,4.243105202626337,603426
Slovakia,SK,lower_vax_coverage,Age60+,16018,1.200728022884146,1334024
Lithuania,LT,lower_vax_coverage,Age60+,35084,4.440619185641779,790070
Italy,IT,lower_vax_coverage,Age60+,1526490,8.124297402006707,18789194
Denmark,DK,lower_vax_coverage,Age60+,868811,54.285046620942346,1600461
France,FR,lower_vax_coverage,Age60+,4105053,22.329333342834286,18384127
Romania,RO,lower_vax_coverage,Age60+,339,0.007165052803691502,4731298
Belgium,BE,no_vaccination,Age60+,0,0.0,3141177
Bulgaria,BG,no_vaccination,Age60+,0,0.0,1937342
Cyprus,CY,no_vaccination,Age60+,0,0.0,265484
Czechia,CZ,no_vaccination,Age60+,0,0.0,2787785
Germany,DE,no_vaccination,Age60+,0,0.0,25488000
Estonia,EE,no_vaccination,Age60+,0,0.0,363014
Greece,GR,no_vaccination,Age60+,0,0.0,3091550
Spain,ES,no_vaccination,Age60+,0,0.0,13173444
Finland,FI,no_vaccination,Age60+,0,0.0,1677409
Hungary,HU,no_vaccination,Age60+,0,0.0,2558799
Ireland,IE,no_vaccination,Age60+,0,0.0,1069965
Iceland,IS,no_vaccination,Age60+,0,0.0,81409
Liechtenstein,LI,no_vaccination,Age60+,0,0.0,11070
Luxembourg,LU,no_vaccination,Age60+,0,0.0,142118
Malta,MT,no_vaccination,Age60+,0,0.0,136895
Netherlands,NL,no_vaccination,Age60+,0,0.0,4895379
Norway,NO,no_vaccination,Age60+,0,0.0,1357981
Poland,PL,no_vaccination,Age60+,0,0.0,10110347
Portugal,PT,no_vaccination,Age60+,0,0.0,3116361
Sweden,SE,no_vaccination,Age60+,0,0.0,2769600
Slovenia,SI,no_vaccination,Age60+,0,0.0,603426
Slovakia,SK,no_vaccination,Age60+,0,0.0,1334024
Lithuania,LT,no_vaccination,Age60+,0,0.0,790070
Italy,IT,no_vaccination,Age60+,0,0.0,18789194
Denmark,DK,no_vaccination,Age60+,0,0.0,1600461
France,FR,no_vaccination,Age60+,0,0.0,18384127
Romania,RO,no_vaccination,Age60+,0,0.0,4731298
