age_group,population
0-4,287023
5-9,312513
10-14,326418
15-19,326297
20-24,312928
25-29,298534
30-34,408480
35-39,472782
40-44,483768
45-49,535861
50-54,496779
55-59,446424
60-64,455390
65-69,437258
70-74,395321
75-79,313967
80-84,189629
85-89,106119
90-94,34756
95-99,4606
100+,296
