age_group,population
0-4,587331
5-9,631815
10-14,680878
15-19,673828
20-24,664441
25-29,708849
30-34,781998
35-39,757919
40-44,768488
45-49,736038
50-54,777495
55-59,790842
60-64,768176
65-69,674691
70-74,570116
75-79,471359
80-84,303080
85-89,219862
90-94,105323
95-99,25612
100+,2958
