age_group,population
0-4,96152
5-9,105406
10-14,113403
15-19,103802
20-24,99163
25-29,112488
30-34,123582
35-39,144122
40-44,158431
45-49,159331
50-54,147657
55-59,152487
60-64,144768
65-69,137774
70-74,120291
75-79,79223
80-84,63026
85-89,37439
90-94,16482
95-99,3992
100+,431
