age_group,population
0-4,293380
5-9,316655
10-14,353161
15-19,341432
20-24,327152
25-29,305058
30-34,299273
35-39,338116
40-44,400911
45-49,379855
50-54,345862
55-59,302720
60-64,275276
65-69,240900
70-74,198326
75-79,170713
80-84,98575
85-89,57118
90-94,21864
95-99,6163
100+,1030
