age_group,population
0-4,580550
5-9,625805
10-14,637741
15-19,625042
20-24,603556
25-29,641602
30-34,788422
35-39,719276
40-44,658298
45-49,646161
50-54,662906
55-59,684188
60-64,586610
65-69,544839
70-74,516744
75-79,506718
80-84,330512
85-89,180647
90-94,79457
95-99,21373
100+,2700
