age_group,population
0-4,273874
5-9,298418
10-14,322876
15-19,328313
20-24,334883
25-29,359592
30-34,389088
35-39,375907
40-44,358530
45-49,353351
50-54,378683
55-59,362905
60-64,319437
65-69,292864
70-74,256889
75-79,230094
80-84,135621
85-89,76027
90-94,35798
95-99,9969
100+,1282
