age_group,population
0-4,3307972
5-9,3676876
10-14,4007196
15-19,3936811
20-24,3687341
25-29,3461623
30-34,3735357
35-39,3997700
40-44,4139359
45-49,3980402
50-54,4338718
55-59,4166970
60-64,4014333
65-69,3757786
70-74,3593911
75-79,2899757
80-84,1796646
85-89,1338260
90-94,725268
95-99,223766
100+,34400
