age_group,population
0-4,23675
5-9,24229
10-14,22926
15-19,21765
20-24,25260
25-29,40441
30-34,52477
35-39,48104
40-44,42622
45-49,37224
50-54,31383
55-59,28931
60-64,30837
65-69,29424
70-74,26431
75-79,24275
80-84,12913
85-89,8358
90-94,3524
95-99,941
100+,192
