age_group,population
0-4,235703
5-9,272041
10-14,312251
15-19,310843
20-24,305251
25-29,332617
30-34,366527
35-39,358126
40-44,360058
45-49,343513
50-54,314133
55-59,359249
60-64,358546
65-69,346924
70-74,337904
75-79,295892
80-84,171604
85-89,106661
90-94,46886
95-99,11759
100+,1233
