age_group,population
0-4,68176
5-9,71233
10-14,74350
15-19,72757
20-24,62035
25-29,65720
30-34,88826
35-39,100442
40-44,93191
45-49,90291
50-54,90044
55-59,80928
60-64,84699
65-69,79158
70-74,68886
75-79,49162
80-84,39869
85-89,26512
90-94,11359
95-99,3035
100+,334
