age_group,population
0-4,496159
5-9,485915
10-14,468955
15-19,532423
20-24,579768
25-29,655937
30-34,702272
35-39,663448
40-44,713944
45-49,870101
50-54,717832
55-59,620857
60-64,548130
65-69,629238
70-74,534207
75-79,384674
80-84,259242
85-89,133603
90-94,55785
95-99,12530
100+,1390
