age_group,population
0-4,131014
5-9,144690
10-14,142073
15-19,125320
20-24,127017
25-29,147940
30-34,182516
35-39,181419
40-44,165486
45-49,175406
50-54,195157
55-59,197152
60-64,208359
65-69,172827
70-74,136183
75-79,102111
80-84,87321
85-89,54232
90-94,22708
95-99,5671
100+,658
