age_group,population
0-4,890492
5-9,879740
10-14,928671
15-19,977336
20-24,1112469
25-29,1130088
30-34,1161901
35-39,1102055
40-44,1045959
45-49,1030116
50-54,1231109
55-59,1259807
60-64,1199568
65-69,1049294
70-74,925732
75-79,812159
80-84,491025
85-89,277584
90-94,111895
95-99,25390
100+,2732
