age_group,population
0-4,173187
5-9,183340
10-14,200432
15-19,197436
20-24,204802
25-29,239877
30-34,238842
35-39,262479
40-44,280972
45-49,272309
50-54,262252
55-59,278620
60-64,285891
65-69,280738
70-74,237546
75-79,162649
80-84,125443
85-89,76568
90-94,28405
95-99,5381
100+,520
