age_group,population
0-4,33814
5-9,34471
10-14,34618
15-19,34674
20-24,37626
25-29,45439
30-34,52358
35-39,51877
40-44,50459
45-49,47672
50-54,46649
55-59,46484
60-64,39936
65-69,31647
70-74,24763
75-79,18712
80-84,13226
85-89,8543
90-94,4109
95-99,1057
100+,125
