age_group,population
0-4,22780
5-9,21685
10-14,24079
15-19,23400
20-24,23127
25-29,27632
30-34,31106
35-39,26847
40-44,26306
45-49,23450
50-54,22708
55-59,21981
60-64,21390
65-69,19120
70-74,15513
75-79,11661
80-84,7099
85-89,4054
90-94,2017
95-99,504
100+,51
