age_group,population
0-4,318122
5-9,307645
10-14,315923
15-19,347254
20-24,363677
25-29,404872
30-34,401825
35-39,352386
40-44,335660
45-49,373000
50-54,389102
55-59,415353
60-64,366098
65-69,325858
70-74,297014
75-79,289489
80-84,180028
85-89,94423
90-94,36485
95-99,9733
100+,1333
