age_group,population
0-4,526328
5-9,556315
10-14,564574
15-19,554185
20-24,499728
25-29,528909
30-34,669356
35-39,703676
40-44,767870
45-49,911624
50-54,757949
55-59,671824
60-64,596685
65-69,632153
70-74,598873
75-79,481144
80-84,278091
85-89,132878
90-94,55305
95-99,11534
100+,1122
