age_group,population
0-4,2053505
5-9,2353686
10-14,2694819
15-19,2857846
20-24,2914582
25-29,2996654
30-34,3198085
35-39,3332390
40-44,3655772
45-49,4355762
50-54,4748902
55-59,4834780
60-64,4289401
65-69,3680780
70-74,3264924
75-79,2900363
80-84,2243159
85-89,1510485
90-94,694875
95-99,182563
100+,22644
