age_group,population
0-4,401121
5-9,462460
10-14,524894
15-19,549509
20-24,564382
25-29,540723
30-34,522462
35-39,591931
40-44,752053
45-49,776254
50-54,788383
55-59,756502
60-64,683858
65-69,641475
70-74,558826
75-79,493023
80-84,344167
85-89,242626
90-94,100965
95-99,23925
100+,2685
