age_group,population
0-4,422536
5-9,441631
10-14,423465
15-19,431574
20-24,458755
25-29,553434
30-34,619979
35-39,613686
40-44,606175
45-49,569828
50-54,640832
55-59,706190
60-64,649389
65-69,518534
70-74,413652
75-79,345167
80-84,320920
85-89,145856
90-94,67796
95-99,17063
100+,1941
