age_group,population
0-4,3856879
5-9,4042363
10-14,3757462
15-19,3801716
20-24,4272432
25-29,4834735
30-34,5329574
35-39,5479327
40-44,5297876
45-49,4847127
50-54,5522743
55-59,6746134
60-64,6386966
65-69,5190719
70-74,4406534
75-79,3173774
80-84,3289660
85-89,2062829
90-94,743899
95-99,207511
100+,26108
