age_group,population
0-4,413375
5-9,437217
10-14,472489
15-19,518349
20-24,565859
25-29,553197
30-34,564459
35-39,591443
40-44,694685
45-49,802021
50-54,769392
55-59,736855
60-64,709895
65-69,642709
70-74,578940
75-79,481085
80-84,345434
85-89,234535
90-94,98755
95-99,22286
100+,2722
