YearWeekISO,ReportingCountry,Denominator,NumberOfIndivOneDose,Region,TargetGroup,Vaccine,Population
2024-03,BE,,23,,ALL,OTHER,11742796
2023-10,BE,,66062,,ALL,OTHER,11742796
2023-12,BE,,41382,,ALL,COMXBB,11742796
2024-01,BE,,335,,ALL,OTHER,11742796
2023-09,BE,,398845,,ALL,COMXBB,11742796
2023-11,BE,,8775,,ALL,OTHER,11742796
2024-02,BE,,81,,ALL,OTHER,11742796
2024-03,BE,,439,,ALL,COMXBB,11742796
2024-01,BE,,6520,,ALL,COMXBB,11742796
2023-11,BE,,54323,,Age70_79,COMXBB,11742796
2024-03,BE,,87,,Age70_79,COMXBB,11742796
2023-12,BE,,10232,,Age70_79,COMXBB,11742796
2023-09,BE,,9385,,Age70_79,OTHER,11742796
2024-03,BE,,8,,Age70_79,OTHER,11742796
2023-09,BE,,116923,,Age70_79,COMXBB,11742796
2023-11,BE,,2448,,Age70_79,OTHER,11742796
2023-10,BE,,332694,,Age70_79,COMXBB,11742796
2024-03,BE,,3,,Age80+,OTHER,11742796
2023-10,BE,,204104,,Age80+,COMXBB,11742796
2024-02,BE,,5,,Age80+,OTHER,11742796
2024-01,BE,,569,,Age80+,COMXBB,11742796
2024-01,BE,,25,,Age80+,OTHER,11742796
2023-12,BE,,4761,,Age80+,COMXBB,11742796
2023-10,BE,,14212,,Age80+,OTHER,11742796
2024-03,BE,,27,,Age80+,COMXBB,11742796
2023-12,BE,,167,,Age80+,OTHER,11742796
2023-09,BE,,10300,,Age80+,OTHER,11742796
2024-02,BE,,139,,Age80+,COMXBB,11742796
2023-11,BE,,1418,,Age80+,OTHER,11742796
2023-11,BE,,28169,,Age80+,COMXBB,11742796
2023-09,BE,,106975,,Age80+,COMXBB,11742796
2024-01,BE,,69,,Age70_79,OTHER,11742796
2023-10,BE,,20024,,Age70_79,OTHER,11742796
2024-01,BE,,79,,Age60_69,OTHER,11742796
2024-03,BE,,94,,Age60_69,COMXBB,11742796
2023-11,BE,,58498,,Age60_69,COMXBB,11742796
2024-02,BE,,422,,Age60_69,COMXBB,11742796
2023-11,BE,,2642,,Age60_69,OTHER,11742796
2023-12,BE,,359,,Age60_69,OTHER,11742796
2024-03,BE,,1,,Age60_69,OTHER,11742796
2024-02,BE,,14,,Age60_69,OTHER,11742796
2023-10,BG,387484,112,BG,Age18_24,COMXBB,6447710
2023-09,BG,387484,22,BG,Age18_24,COMXBB,6447710
2023-12,BG,328288,607,BG,Age80+,COMXBB,6447710
2023-11,BG,2059879,1947,BG,Age25_49,COMXBB,6447710
2023-10,BG,2059879,1732,BG,Age25_49,COMXBB,6447710
2023-09,BG,2059879,403,BG,Age25_49,COMXBB,6447710
2023-09,BG,732771,1273,BG,Age70_79,COMXBB,6447710
2024-02,BG,328288,21,BG,Age80+,COMXBB,6447710
2023-11,BG,328288,3871,BG,Age80+,COMXBB,6447710
2023-09,BG,328288,432,BG,Age80+,COMXBB,6447710
2024-01,BG,732771,427,BG,Age70_79,COMXBB,6447710
2023-12,BG,732771,1292,BG,Age70_79,COMXBB,6447710
2023-10,BG,732771,7934,BG,Age70_79,COMXBB,6447710
2024-03,BG,732771,35,BG,Age70_79,COMXBB,6447710
2024-02,BG,732771,55,BG,Age70_79,COMXBB,6447710
2023-09,BG,,0,BG,AgeUNK,COMXBB,6447710
2023-10,BG,,0,BG,AgeUNK,COMXBB,6447710
2023-11,BG,,0,BG,AgeUNK,COMXBB,6447710
2024-02,BG,,0,BG,AgeUNK,COMXBB,6447710
2024-01,BG,,0,BG,AgeUNK,COMXBB,6447710
2024-03,BG,,0,BG,AgeUNK,COMXBB,6447710
2023-12,BG,,0,BG,AgeUNK,COMXBB,6447710
2024-02,BG,5348014,270,BG,ALL,COMXBB,6447710
2023-11,BG,732771,9739,BG,Age70_79,COMXBB,6447710
2023-09,BG,5348014,3455,BG,ALL,COMXBB,6447710
2024-03,BG,5348014,187,BG,ALL,COMXBB,6447710
2024-01,BG,5348014,1412,BG,ALL,COMXBB,6447710
2023-10,BG,5348014,19688,BG,ALL,COMXBB,6447710
2023-12,BG,5348014,3533,BG,ALL,COMXBB,6447710
2023-10,BG,328288,3149,BG,Age80+,COMXBB,6447710
2024-01,BG,328288,185,BG,Age80+,COMXBB,6447710
2024-03,BG,328288,11,BG,Age80+,COMXBB,6447710
2023-10,BG,926188,1703,BG,Age50_59,COMXBB,6447710
2023-11,BG,926188,1829,BG,Age50_59,COMXBB,6447710
2023-09,BG,926188,378,BG,Age50_59,COMXBB,6447710
2023-09,BG,913404,925,BG,Age60_69,COMXBB,6447710
2024-03,BG,913404,33,BG,Age60_69,COMXBB,6447710
2023-10,BG,913404,4828,BG,Age60_69,COMXBB,6447710
2024-01,BG,913404,297,BG,Age60_69,COMXBB,6447710
2023-12,BG,913404,765,BG,Age60_69,COMXBB,6447710
2023-11,BG,913404,5328,BG,Age60_69,COMXBB,6447710
2024-02,BG,243600,12,BG,HCW,COMXBB,6447710
2023-11,BG,5348014,22957,BG,ALL,COMXBB,6447710
2023-11,BG,1099696,127,BG,Age<18,COMXBB,6447710
2023-10,BG,1099696,230,BG,Age<18,COMXBB,6447710
2023-09,BG,1099696,22,BG,Age<18,COMXBB,6447710
2023-10,BG,243600,704,BG,HCW,COMXBB,6447710
2023-12,BG,243600,70,BG,HCW,COMXBB,6447710
2023-09,BG,243600,210,BG,HCW,COMXBB,6447710
2024-03,BG,243600,13,BG,HCW,COMXBB,6447710
2024-01,BG,243600,43,BG,HCW,COMXBB,6447710
2023-11,BG,243600,495,BG,HCW,COMXBB,6447710
2024-02,BG,913404,37,BG,Age60_69,COMXBB,6447710
2023-11,BG,387484,116,BG,Age18_24,COMXBB,6447710
2024-02,CY,,0,CY,AgeUNK,NVXDXBB,920701
2024-01,CY,,0,CY,AgeUNK,NVXDXBB,920701
2024-03,CY,,0,CY,AgeUNK,COMXBB,920701
2024-04,CY,,0,CY,AgeUNK,COMXBB,920701
2024-02,CY,,0,CY,AgeUNK,COMXBB,920701
2024-03,CY,,0,CY,AgeUNK,NVXDXBB,920701
2024-01,CY,,0,CY,AgeUNK,COMXBB,920701
2024-02,CY,,0,CY,Age60+,NVXDXBB,920701
2024-04,CY,,5,CY,Age60+,COMXBB,920701
2023-09,CY,,0,CY,Age60+,OTHER,920701
2023-09,CY,,1048,CY,Age60+,COMXBB,920701
2023-09,CY,71061,0,CY,Age70_79,OTHER,920701
2023-12,CY,71061,0,CY,Age70_79,NVXDXBB,920701
2023-12,CY,36786,107,CY,Age80+,COMXBB,920701
2023-09,CY,36786,885,CY,Age80+,COMXBB,920701
2024-02,CY,36786,4,CY,Age80+,COMXBB,920701
2023-10,CY,,4,CY,Chronic,OTHER,920701
2024-01,CY,,0,CY,Pregnant,COMXBB,920701
2023-10,CY,71061,885,CY,Age70_79,COMXBB,920701
2024-01,CY,98223,0,CY,Age60_69,NVXDXBB,920701
2023-10,CY,98223,520,CY,Age60_69,COMXBB,920701
2023-11,CY,98223,227,CY,Age60_69,COMXBB,920701
2024-04,CY,98223,1,CY,Age60_69,COMXBB,920701
2023-10,CY,98223,0,CY,Age60_69,OTHER,920701
2024-02,CY,98223,2,CY,Age60_69,COMXBB,920701
2024-01,CY,98223,43,CY,Age60_69,COMXBB,920701
2024-03,CY,98223,4,CY,Age60_69,COMXBB,920701
2024-02,CY,98223,0,CY,Age60_69,NVXDXBB,920701
2023-09,CY,98223,0,CY,Age60_69,OTHER,920701
2023-12,CY,98223,2,CY,Age60_69,NVXDXBB,920701
2023-12,CY,98223,107,CY,Age60_69,COMXBB,920701
2023-09,CY,98223,621,CY,Age60_69,COMXBB,920701
2024-03,CY,98223,0,CY,Age60_69,NVXDXBB,920701
2023-10,CY,,2026,CY,Age60+,COMXBB,920701
2024-03,CY,,0,CY,Age60+,NVXDXBB,920701
2024-01,CY,,0,CY,Pregnant,NVXDXBB,920701
2023-11,CY,,13,CY,HCW,COMXBB,920701
2024-02,CY,,1,CY,HCW,COMXBB,920701
2024-03,CY,,0,CY,HCW,NVXDXBB,920701
2023-09,CY,,0,CY,HCW,COMXBB,920701
2024-03,CY,,0,CY,HCW,COMXBB,920701
2024-01,CY,,1,CY,HCW,COMXBB,920701
2023-12,CY,,4,CY,HCW,COMXBB,920701
2023-09,CY,,0,CY,HCW,OTHER,920701
2023-10,CY,,20,CY,HCW,COMXBB,920701
2024-04,CY,,0,CY,HCW,COMXBB,920701
2023-10,CY,,31,CY,HCW,OTHER,920701
2024-01,CY,,0,CY,HCW,NVXDXBB,920701
2024-02,CY,71061,0,CY,Age70_79,NVXDXBB,920701
2024-01,CY,71061,60,CY,Age70_79,COMXBB,920701
2024-02,CY,71061,8,CY,Age70_79,COMXBB,920701
2024-03,CY,71061,0,CY,Age70_79,NVXDXBB,920701
2023-09,CY,71061,1309,CY,Age70_79,COMXBB,920701
2023-12,CY,71061,206,CY,Age70_79,COMXBB,920701
2024-04,CY,71061,1,CY,Age70_79,COMXBB,920701
2024-03,CY,71061,4,CY,Age70_79,COMXBB,920701
2023-11,CY,71061,413,CY,Age70_79,COMXBB,920701
2024-01,CY,71061,0,CY,Age70_79,NVXDXBB,920701
2023-10,CY,71061,0,CY,Age70_79,OTHER,920701
2024-02,CY,,0,CY,Chronic,COMXBB,920701
2024-04,CY,,0,CY,Chronic,COMXBB,920701
2023-12,CY,,0,CY,Chronic,NVXDXBB,920701
2024-02,CY,,0,CY,Pregnant,NVXDXBB,920701
2024-02,CY,,0,CY,Pregnant,COMXBB,920701
2024-03,CY,,0,CY,Pregnant,NVXDXBB,920701
2023-10,CY,743863,5,CY,ALL,OTHER,920701
2024-02,CY,743863,16,CY,ALL,COMXBB,920701
2024-03,CY,743863,20,CY,ALL,COMXBB,920701
2024-04,CY,743863,12,CY,ALL,COMXBB,920701
2023-09,CY,743863,5,CY,ALL,OTHER,920701
2024-01,CY,743863,2,CY,ALL,NVXDXBB,920701
2024-01,CY,743863,184,CY,ALL,COMXBB,920701
2024-02,CY,743863,1,CY,ALL,NVXDXBB,920701
2023-12,CY,743863,6,CY,ALL,NVXDXBB,920701
2023-12,CY,743863,508,CY,ALL,COMXBB,920701
