"rep","month","VE_inf","VE_sev"
1,0,0.765986554828777,0.775074257726961
1,1,0.765496649382464,0.774578540017866
1,2,0.762513130069913,0.771559624082577
1,3,0.755586303701518,0.76455061749879
1,4,0.744091781560459,0.752919723770637
1,5,0.727964914439725,0.736601526689673
1,6,0.707503984204414,0.715897846952003
1,7,0.683226341470476,0.691332173047225
1,8,0.655765050431138,0.663545079873904
1,9,0.625796291071348,0.633220769650235
1,10,0.593989908815476,0.601037034880294
1,11,0.560977199775857,0.567632661405152
1,12,0.527331363460585,0.533587649200608
1,13,0.493557114634199,0.499412700992478
1,14,0.460086779011177,0.465545271629198
1,15,0.427280849575497,0.432350131001584
1,16,0.395431488579877,0.400122907589972
1,17,0.364767854442285,0.369095478559291
1,18,0.335462436698389,0.339442379869712
1,19,0.307637815002152,0.311287645466357
1,20,0.281373435164491,0.284711663709231
1,21,0.256712128554415,0.25975777412085
1,22,0.233666200535285,0.236438428056024
1,23,0.212222986642482,0.21474081079829
1,24,0.192349827990497,0.194631875995485
1,25,0.173998454702318,0.176062781094354
1,26,0.157108791728139,0.158972738311688
1,27,0.141612218190605,0.143292312648603
1,28,0.127434321635136,0.128946208817426
1,29,0.114497194035462,0.115855594487155
1,30,0.102721318457712,0.103940009331029
1,31,0.0920270949515851,0.0931189090209455
1,32,0.0823360522932152,0.0833128913465029
1,33,0.0735717892337221,0.0744446486305732
1,34,0.065660685340194,0.0664396870037365
1,35,0.0585324176641278,0.0592268492025024
1,36,0.0521203155581891,0.0527386735956331
2,0,0.759644467831172,0.795400223995224
2,1,0.759301389177286,0.795040996949278
2,2,0.757178835139626,0.792818536273934
2,3,0.752162713498245,0.78756631046818
2,4,0.743686200852691,0.778690816283088
2,5,0.73157366831003,0.766008158137642
2,6,0.715920599089333,0.749618313556924
2,7,0.697002113201738,0.729809352194242
2,8,0.675204120697199,0.706985348525449
2,9,0.650972277039308,0.681612934600903
2,10,0.6247748562202,0.654182425632533
2,11,0.59707642602603,0.625180256178632
2,12,0.568319835936121,0.595070120230224
2,13,0.538914536804696,0.564280741111122
2,14,0.509229663711175,0.533198628744441
2,15,0.479590646534835,0.502164530690167
2,16,0.450278381263995,0.471472564448645
2,17,0.421530210637439,0.441371244259872
2,18,0.393542135205656,0.412065796237334
2,19,0.366471813334885,0.383721299579433
2,20,0.340442017669851,0.356466305724703
2,21,0.315544301548376,0.330396677341137
2,22,0.291842696268834,0.305579459620565
2,23,0.269377312585749,0.282056651293293
2,24,0.24816776031716,0.259848785193196
2,25,0.228216330906095,0.238958260619386
2,26,0.20951091115077,0.219372394212976
