"rep","month","VE_inf","VE_sev"
1,0,0.765986554828777,0.775074257726961
1,1,0.765921480159422,0.775008411008466
1,2,0.765496649382464,0.774578540017866
1,3,0.764430203870574,0.773499442142944
1,4,0.762513130069913,0.771559624082577
1,5,0.759597505936093,0.768609408837825
1,6,0.755586303701517,0.76455061749879
1,7,0.750424564607682,0.759327639273501
1,8,0.744091781560459,0.752919723770637
1,9,0.736595343860485,0.745334347957869
1,10,0.727964914439724,0.736601526689673
1,11,0.718247624592966,0.726768950428883
1,12,0.707503984204413,0.715897846952003
1,13,0.695804417092272,0.704059475588948
1,14,0.683226341470475,0.691332173047225
1,15,0.669851724784309,0.677798879238002
1,16,0.655765050431137,0.663545079873903
1,17,0.64105164123232,0.648657110050523
1,18,0.625796291071348,0.633220769650235
1,19,0.610082161940069,0.617320207302931
1,20,0.593989908815475,0.601037034880294
1,21,0.577596999391585,0.584449639156948
1,22,0.560977199775857,0.567632661405151
1,23,0.544200200882021,0.550656619355128
1,24,0.527331363460585,0.533587649200607
1,25,0.510431562548904,0.516487348203441
1,26,0.493557114634198,0.499412700992477
1,27,0.476759773041003,0.482416074896289
1,28,0.460086779011177,0.465545271629198
1,29,0.443580957668371,0.448843624394268
1,30,0.427280849575497,0.432350131001584
1,31,0.411220869926168,0.41609961494834
1,32,0.395431488579877,0.400122907589972
1,33,0.379939425174226,0.384447045567201
1,34,0.364767854442285,0.369095478559291
1,35,0.349936617643768,0.354088283223659
1,36,0.335462436698389,0.339442379869712
2,0,0.759644467831172,0.795400223995224
2,1,0.759599208042735,0.795352833870783
2,2,0.759301389177286,0.795040996949277
2,3,0.758547116332324,0.794251221185426
2,4,0.757178835139626,0.792818536273933
2,5,0.755078698405895,0.790619548064094
2,6,0.752162713498246,0.787566310468179
2,7,0.748375588202471,0.78360092871906
2,8,0.743686200852691,0.778690816283088
2,9,0.738083627848724,0.772824535396415
2,10,0.73157366831003,0.766008158137641
2,11,0.724175811624134,0.758262091241576
2,12,0.715920599089333,0.749618313556924
2,13,0.706847335777693,0.740117980208811
2,14,0.697002113201739,0.729809352194241
2,15,0.686436107399547,0.718746014359646
2,16,0.675204120697199,0.706985348525449
2,17,0.663363338700237,0.694587231970277
2,18,0.650972277039308,0.681612934600903
2,19,0.638089895079037,0.66812419094422
2,20,0.6247748562202,0.654182425632533
2,21,0.611084916608021,0.639848113338919
2,22,0.59707642602603,0.625180256178631
2,23,0.582803926525772,0.610235963446678
2,24,0.568319835936121,0.595070120230223
2,25,0.553674204828862,0.579735132934753
2,26,0.538914536804696,0.564280741111121
2,27,0.524085663119919,0.54875388618102
2,28,0.509229663711175,0.53319862874444
2,29,0.494385827605412,0.517656107126161
2,30,0.479590646534835,0.502164530690166
2,31,0.46487783632173,0.486759202231032
2,32,0.450278381263995,0.471472564448644
2,33,0.435820597346953,0.456334266135327
2,34,0.421530210637439,0.441371244259871
