age_group,population
0-4,297761
5-9,303537
10-14,298889
15-19,298133
20-24,321162
25-29,362876
30-34,426774
35-39,450547
40-44,460667
45-49,460492
50-54,382456
55-59,345609
60-64,340409
65-69,337207
70-74,281181
75-79,180055
80-84,110966
85-89,55543
90-94,22896
95-99,5233
100+,534
