age_group,population
0-4,64653
5-9,67994
10-14,67049
15-19,63695
20-24,67652
25-29,81047
30-34,106169
35-39,118986
40-44,108941
45-49,92219
50-54,83276
55-59,77214
60-64,70887
65-69,60777
70-74,49143
75-79,38400
80-84,25553
85-89,13922
90-94,5364
95-99,1288
100+,150
