age_group,population
0-4,1983226
5-9,2019686
10-14,2057963
15-19,2135871
20-24,2267057
25-29,2585174
30-34,2956022
35-39,3257293
40-44,3350258
45-49,3060474
50-54,2538896
55-59,2252261
60-64,2412933
65-69,2581782
70-74,2129845
75-79,1351860
80-84,805189
85-89,536412
90-94,232103
95-99,54481
100+,5742
