age_group,population
0-4,1029982
5-9,1068274
10-14,1033021
15-19,1104165
20-24,1141202
25-29,1142745
30-34,1249687
35-39,1436842
40-44,1402141
45-49,1565293
50-54,1503605
55-59,1321609
60-64,1056971
65-69,1195897
70-74,1003679
75-79,646642
80-84,439955
85-89,274768
90-94,95979
95-99,16407
100+,1000
