age_group,population
0-4,1783210
5-9,2127201
10-14,2400870
15-19,2564577
20-24,2468361
25-29,2468266
30-34,2682175
35-39,2908320
40-44,3499358
45-49,4008895
50-54,3808378
55-59,3605151
60-64,3209593
65-69,2713396
70-74,2276396
75-79,1985268
80-84,1369146
85-89,961975
90-94,507897
95-99,132859
100+,16914
