age_group,population
0-4,82994
5-9,102691
10-14,93873
15-19,96067
20-24,86937
25-29,79124
30-34,115656
35-39,129850
40-44,121015
45-49,120555
50-54,128508
55-59,122681
60-64,131718
65-69,118463
70-74,97390
75-79,72448
80-84,62958
85-89,38315
90-94,14567
95-99,3841
100+,448
