country,age_group,population
Luxembourg,3-5mo,1638
Luxembourg,6-11mo,3286
Luxembourg,12-35mo,13794
Luxembourg,36-59mo,13801
Luxembourg,5-17y,91308
Luxembourg,18-64y,437210
Luxembourg,65-74y,54370
Luxembourg,75-84y,30931
Luxembourg,85+y,12919
Malta,0-2mo,1024
Malta,3-5mo,1028
Malta,6-11mo,2272
Malta,12-35mo,9041
Malta,36-59mo,9147
Malta,5-17y,59449
Malta,18-64y,359338
Malta,65-74y,56377
Malta,75-84y,33735
Malta,85+y,10638
Netherlands,0-2mo,44106
Netherlands,3-5mo,41321
Netherlands,6-11mo,82200
Netherlands,12-35mo,353058
Netherlands,36-59mo,347468
Netherlands,5-17y,2444947
Netherlands,18-64y,10897022
Netherlands,65-74y,1957840
Netherlands,75-84y,1241524
Netherlands,85+y,401803
Norway,0-2mo,14483
Norway,3-5mo,13424
Norway,6-11mo,24083
Norway,12-35mo,112193
Norway,36-59mo,113601
Norway,5-17y,834406
Norway,18-64y,3365332
Norway,65-74y,544258
Norway,75-84y,348871
Norway,85+y,118332
Poland,0-2mo,75676
Poland,3-5mo,72408
Poland,6-11mo,151452
Poland,12-35mo,684370
Poland,36-59mo,761596
Poland,5-17y,5007400
Poland,18-64y,22689946
Poland,65-74y,4533283
Poland,75-84y,1981539
Poland,85+y,796064
Portugal,0-2mo,21189
Portugal,3-5mo,20537
Portugal,6-11mo,42105
Portugal,12-35mo,166734
Portugal,36-59mo,177934
Portugal,5-17y,1244437
Portugal,18-64y,6332779
Portugal,65-74y,1288505
Portugal,75-84y,853892
Portugal,85+y,368507
Romania,0-2mo,44987
Romania,3-5mo,42339
Romania,6-11mo,89769
Romania,12-35mo,373604
Romania,36-59mo,404491
Romania,5-17y,2772525
Romania,18-64y,11572496
Romania,65-74y,2291188
Romania,75-84y,1092763
Romania,85+y,370384
Slovakia,0-2mo,13861
Slovakia,3-5mo,12968
Slovakia,6-11mo,26312
Slovakia,12-35mo,115320
Slovakia,36-59mo,119455
Slovakia,5-17y,746069
Slovakia,18-64y,3425737
Slovakia,65-74y,612571
Slovakia,75-84y,277242
Slovakia,85+y,79255
Slovenia,0-2mo,4692
Slovenia,3-5mo,4171
Slovenia,6-11mo,8719
Slovenia,12-35mo,38238
Slovenia,36-59mo,39981
Slovenia,5-17y,282771
Slovenia,18-64y,1284690
Slovenia,65-74y,255386
Slovenia,75-84y,141186
Slovenia,85+y,57136
Spain,0-2mo,83506
Spain,3-5mo,79112
Spain,6-11mo,167349
Spain,12-35mo,695019
Spain,36-59mo,761419
Spain,5-17y,6291778
Spain,18-64y,30319401
Spain,65-74y,4902910
Spain,75-84y,3181789
Spain,85+y,1603077
Sweden,0-2mo,27709
Sweden,3-5mo,27603
Sweden,6-11mo,49873
Sweden,12-35mo,232150
Sweden,36-59mo,239031
Sweden,5-17y,1618418
Sweden,18-64y,6179634
Sweden,65-74y,1067123
Sweden,75-84y,805998
Sweden,85+y,274016
