country,age_group,population
Austria,0-2mo,20859
Austria,3-5mo,19589
Austria,6-11mo,40855
Austria,12-35mo,173540
Austria,36-59mo,176629
Austria,5-17y,1146859
Austria,18-64y,5745737
Austria,65-74y,913691
Austria,75-84y,644578
Austria,85+y,222434
Belgium,0-2mo,29686
Belgium,3-5mo,28639
Belgium,6-11mo,56205
Belgium,12-35mo,237964
Belgium,36-59mo,244316
Belgium,5-17y,1749721
Belgium,18-64y,7085376
Belgium,65-74y,1220234
Belgium,75-84y,748057
Belgium,85+y,342597
Bulgaria,0-2mo,14999
Bulgaria,3-5mo,13920
Bulgaria,6-11mo,27605
Bulgaria,12-35mo,113717
Bulgaria,36-59mo,115817
Bulgaria,5-17y,813636
Bulgaria,18-64y,3832631
Bulgaria,65-74y,877345
Bulgaria,75-84y,497652
Bulgaria,85+y,140386
Croatia,0-2mo,8834
Croatia,3-5mo,7999
Croatia,6-11mo,17101
Croatia,12-35mo,70758
Croatia,36-59mo,70644
Croatia,5-17y,488719
Croatia,18-64y,2311134
Croatia,65-74y,512129
Croatia,75-84y,272187
Croatia,85+y,91387
Cyprus,0-2mo,2579
Cyprus,3-5mo,2450
Cyprus,6-11mo,5322
Cyprus,12-35mo,20521
Cyprus,36-59mo,19230
Cyprus,5-17y,124310
Cyprus,18-64y,610202
Cyprus,65-74y,91650
Cyprus,75-84y,55770
Cyprus,85+y,17048
Czechia,0-2mo,26233
Czechia,3-5mo,25090
Czechia,6-11mo,50595
Czechia,12-35mo,227913
Czechia,36-59mo,232713
Czechia,5-17y,1532944
Czechia,18-64y,6524191
Czechia,65-74y,1265918
Czechia,75-84y,743054
Czechia,85+y,198877
Denmark,0-2mo,15624
Denmark,3-5mo,14487
Denmark,6-11mo,28627
Denmark,12-35mo,126550
Denmark,36-59mo,125386
Denmark,5-17y,845162
Denmark,18-64y,3563487
Denmark,65-74y,624146
Denmark,75-84y,454419
Denmark,85+y,134764
Estonia,0-2mo,3152
Estonia,3-5mo,2970
Estonia,6-11mo,5694
Estonia,12-35mo,27710
Estonia,36-59mo,30116
Estonia,5-17y,199468
Estonia,18-64y,820320
Estonia,65-74y,149898
Estonia,75-84y,88757
Estonia,85+y,37798
Finland,0-2mo,11868
Finland,3-5mo,11074
Finland,6-11mo,22030
Finland,12-35mo,97377
Finland,36-59mo,95931
Finland,5-17y,787910
Finland,18-64y,3243267
Finland,65-74y,693661
Finland,75-84y,441736
Finland,85+y,159114
France,0-2mo,171670
France,3-5mo,164019
France,6-11mo,341125
France,12-35mo,1393765
France,36-59mo,1451876
France,5-17y,10814400
France,18-64y,39513583
France,65-74y,7619870
France,75-84y,4537283
France,85+y,2269618
Germany,0-2mo,188134
Germany,3-5mo,174277
Germany,6-11mo,362298
Germany,12-35mo,1559850
Germany,36-59mo,1580187
Germany,5-17y,10051201
Germany,18-64y,50712348
Germany,65-74y,9366114
Germany,75-84y,6424654
Germany,85+y,2699436
Greece,0-2mo,19558
Greece,3-5mo,17443
Greece,6-11mo,39239
Greece,12-35mo,162032
Greece,36-59mo,165583
Greece,5-17y,1308452
Greece,18-64y,6304583
Greece,65-74y,1184457
Greece,75-84y,820173
Greece,85+y,392461
Hungary,0-2mo,23341
Hungary,3-5mo,21155
Hungary,6-11mo,44973
Hungary,12-35mo,189244
Hungary,36-59mo,184488
Hungary,5-17y,1222675
Hungary,18-64y,5942334
Hungary,65-74y,1167234
Hungary,75-84y,622007
Hungary,85+y,182291
Iceland,0-2mo,1179
Iceland,3-5mo,1097
Iceland,6-11mo,2143
Iceland,12-35mo,9590
Iceland,36-59mo,9028
Iceland,5-17y,61680
Iceland,18-64y,244747
Iceland,65-74y,33822
Iceland,75-84y,17827
Iceland,85+y,6643
Ireland,0-2mo,14435
Ireland,3-5mo,13643
Ireland,6-11mo,27659
Ireland,12-35mo,118029
Ireland,36-59mo,124239
Ireland,5-17y,933407
Ireland,18-64y,3239466
Ireland,65-74y,452814
Ireland,75-84y,260667
Ireland,85+y,87034
Italy,0-2mo,100970
Italy,3-5mo,88674
Italy,6-11mo,204274
Italy,12-35mo,815499
Italy,36-59mo,875825
Italy,5-17y,6990469
Italy,18-64y,35740191
Italy,65-74y,6913692
Italy,75-84y,5024159
Italy,85+y,2243446
Latvia,0-2mo,4246
Latvia,3-5mo,3971
Latvia,6-11mo,7570
Latvia,12-35mo,35496
Latvia,36-59mo,38961
Latvia,5-17y,271139
Latvia,18-64y,1126706
Latvia,65-74y,212515
Latvia,75-84y,133137
Latvia,85+y,49266
Liechtenstein,0-2mo,101
Liechtenstein,3-5mo,87
Liechtenstein,6-11mo,181
Liechtenstein,12-35mo,753
Liechtenstein,36-59mo,783
Liechtenstein,5-17y,5014
Liechtenstein,18-64y,24962
Liechtenstein,65-74y,4334
Liechtenstein,75-84y,2696
Liechtenstein,85+y,765
Lithuania,0-2mo,5884
Lithuania,3-5mo,5544
Lithuania,6-11mo,11042
Lithuania,12-35mo,49840
Lithuania,36-59mo,55204
Lithuania,5-17y,381150
Lithuania,18-64y,1776947
Lithuania,65-74y,309302
Lithuania,75-84y,188631
Lithuania,85+y,73733
Luxembourg,0-2mo,1551
