DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2015,10131,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2016,10170,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2017,9903,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2018,9805,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2019,10008,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2020,9730,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2021,8693,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2022,9485,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2023,9288,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belgium,2024,9250,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2015,5925,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2016,5508,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2017,5614,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2018,5491,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2019,5437,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2020,5410,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2021,4856,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2022,5085,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2023,5307,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Bulgaria,2024,4988,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belarus,2015,10078,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belarus,2016,10028,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belarus,2017,9032,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Belarus,2018,8348,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2015,7169,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2016,7193,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2017,7078,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2018,7254,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2019,7246,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2020,7108,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2021,7439,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2022,6933,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2023,6524,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Switzerland,2024,6246,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2015,774,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2016,764,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2017,775,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2018,793,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2019,743,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2020,844,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2021,748,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2022,832,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2023,924,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Cyprus,2024,818,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2015,9439,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2016,9211,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2017,9202,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2018,9471,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2019,9403,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2020,9330,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2021,9305,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2022,8575,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2023,7906,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Czechia,2024,7001,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2015,59490,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2016,62422,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2017,63808,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2018,65402,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2019,63275,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2020,63713,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2021,64325,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2022,58409,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2023,57100,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Germany,2024,55128,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2015,4604,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2016,4738,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2017,4910,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2018,5061,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2019,4929,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2020,4937,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2021,5092,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2022,4880,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2023,4734,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Denmark,2024,4544,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2015,1138,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2016,1120,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2017,1037,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2018,1140,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2019,1032,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2020,1119,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2021,1034,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2022,887,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2023,868,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Estonia,2024,887,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2015,7736,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2016,7924,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2017,7332,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2018,7492,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2019,7201,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2020,7753,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2021,7057,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2022,6384,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2023,6279,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Greece,2024,6260,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2015,35337,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2016,34333,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2017,32541,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2018,31614,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2019,30858,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2020,30314,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2021,23871,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2022,27694,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2023,26962,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Spain,2024,27212,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2015,4659,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2016,4416,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2017,4152,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2018,4088,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2019,3867,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2020,3907,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2021,3999,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2022,3991,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2023,3545,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Finland,2024,3713,p,
