location_name,iso2_code,yearweek,week_end_date,age,value,source
Austria,AT,2024-W02,2024-01-14,0-4,0.0,sentinel
Austria,AT,2024-W02,2024-01-14,15-64,571.4032362459546,sentinel
Austria,AT,2024-W02,2024-01-14,5-14,425.8964401294498,sentinel
Austria,AT,2024-W02,2024-01-14,65+,228.4336569579288,sentinel
Austria,AT,2024-W02,2024-01-14,total,439.7864077669903,sentinel
Austria,AT,2024-W01,2024-01-07,0-4,0.0,sentinel
Austria,AT,2024-W01,2024-01-07,15-64,581.1255411255411,sentinel
Austria,AT,2024-W01,2024-01-07,5-14,284.15584415584414,sentinel
Austria,AT,2024-W01,2024-01-07,65+,391.1168831168831,sentinel
Austria,AT,2024-W01,2024-01-07,total,419.1168831168831,sentinel
Austria,AT,2023-W52,2023-12-31,0-4,463.6698412698413,sentinel
Austria,AT,2023-W52,2023-12-31,15-64,687.9238095238095,sentinel
Austria,AT,2023-W52,2023-12-31,5-14,442.4888888888889,sentinel
Austria,AT,2023-W52,2023-12-31,65+,290.1587301587301,sentinel
Austria,AT,2023-W52,2023-12-31,total,568.4571428571429,sentinel
Austria,AT,2023-W51,2023-12-24,0-4,71.86616766467066,sentinel
Austria,AT,2023-W51,2023-12-24,15-64,376.85419161676646,sentinel
Austria,AT,2023-W51,2023-12-24,5-14,283.3065868263473,sentinel
Austria,AT,2023-W51,2023-12-24,65+,203.347005988024,sentinel
Austria,AT,2023-W51,2023-12-24,total,297.91556886227545,sentinel
Austria,AT,2023-W50,2023-12-17,0-4,156.7878892733564,sentinel
Austria,AT,2023-W50,2023-12-17,15-64,326.139446366782,sentinel
Austria,AT,2023-W50,2023-12-17,5-14,116.29930795847751,sentinel
Austria,AT,2023-W50,2023-12-17,65+,82.36505190311419,sentinel
Austria,AT,2023-W50,2023-12-17,total,235.6141868512111,sentinel
Austria,AT,2023-W49,2023-12-10,0-4,0.0,sentinel
Austria,AT,2023-W49,2023-12-10,15-64,361.6333333333333,sentinel
Austria,AT,2023-W49,2023-12-10,5-14,142.18333333333334,sentinel
Austria,AT,2023-W49,2023-12-10,65+,108.04324324324324,sentinel
Austria,AT,2023-W49,2023-12-10,total,242.54954954954957,sentinel
Austria,AT,2023-W48,2023-12-03,0-4,27.012403100775195,sentinel
Austria,AT,2023-W48,2023-12-03,15-64,86.2437984496124,sentinel
Austria,AT,2023-W48,2023-12-03,5-14,30.781007751937985,sentinel
Austria,AT,2023-W48,2023-12-03,65+,33.578294573643404,sentinel
Austria,AT,2023-W48,2023-12-03,total,64.99418604651163,sentinel
Austria,AT,2023-W47,2023-11-26,0-4,28.05797101449275,sentinel
Austria,AT,2023-W47,2023-11-26,15-64,110.5193236714976,sentinel
Austria,AT,2023-W47,2023-11-26,5-14,22.314009661835748,sentinel
Austria,AT,2023-W47,2023-11-26,65+,42.59903381642512,sentinel
Austria,AT,2023-W47,2023-11-26,total,67.1159420289855,sentinel
Austria,AT,2023-W46,2023-11-19,0-4,0.0,sentinel
Austria,AT,2023-W46,2023-11-19,15-64,17.03333333333333,sentinel
Austria,AT,2023-W46,2023-11-19,5-14,6.584375,sentinel
Austria,AT,2023-W46,2023-11-19,65+,5.479166666666666,sentinel
Austria,AT,2023-W46,2023-11-19,total,11.3796875,sentinel
Austria,AT,2023-W45,2023-11-12,0-4,0.0,sentinel
Austria,AT,2023-W45,2023-11-12,15-64,57.10535714285714,sentinel
Austria,AT,2023-W45,2023-11-12,5-14,23.87678571428571,sentinel
Austria,AT,2023-W45,2023-11-12,65+,24.035714285714285,sentinel
Austria,AT,2023-W45,2023-11-12,total,40.15,sentinel
Austria,AT,2023-W44,2023-11-05,0-4,29.782417582417583,sentinel
Austria,AT,2023-W44,2023-11-05,15-64,31.180219780219783,sentinel
Austria,AT,2023-W44,2023-11-05,5-14,0.0,sentinel
Austria,AT,2023-W44,2023-11-05,65+,14.574725274725276,sentinel
Austria,AT,2023-W44,2023-11-05,total,22.973626373626374,sentinel
Austria,AT,2023-W43,2023-10-29,0-4,0.0,sentinel
Austria,AT,2023-W43,2023-10-29,15-64,32.2,sentinel
Austria,AT,2023-W43,2023-10-29,5-14,13.868041237113404,sentinel
Austria,AT,2023-W43,2023-10-29,65+,17.962886597938144,sentinel
Austria,AT,2023-W43,2023-10-29,total,21.58762886597938,sentinel
Austria,AT,2023-W42,2023-10-22,0-4,7.494193548387096,sentinel
Austria,AT,2023-W42,2023-10-22,15-64,20.080645161290324,sentinel
Austria,AT,2023-W42,2023-10-22,5-14,7.214838709677419,sentinel
Austria,AT,2023-W42,2023-10-22,65+,7.358709677419354,sentinel
Austria,AT,2023-W42,2023-10-22,total,13.643870967741936,sentinel
Austria,AT,2023-W41,2023-10-15,0-4,,sentinel
Austria,AT,2023-W41,2023-10-15,15-64,,sentinel
Austria,AT,2023-W41,2023-10-15,5-14,,sentinel
Austria,AT,2023-W41,2023-10-15,65+,,sentinel
Austria,AT,2023-W41,2023-10-15,total,,sentinel
Austria,AT,2023-W40,2023-10-08,0-4,0.0,sentinel
Austria,AT,2023-W40,2023-10-08,15-64,25.218681318681323,sentinel
Austria,AT,2023-W40,2023-10-08,5-14,0.0,sentinel
Austria,AT,2023-W40,2023-10-08,65+,1.165934065934066,sentinel
Austria,AT,2023-W40,2023-10-08,total,16.12857142857143,sentinel
Austria,AT,2023-W13,2023-04-02,0-4,563.7551020408164,sentinel
Austria,AT,2023-W13,2023-04-02,15-64,609.4489795918367,sentinel
Austria,AT,2023-W13,2023-04-02,5-14,258.63265306122446,sentinel
Austria,AT,2023-W13,2023-04-02,65+,88.6734693877551,sentinel
Austria,AT,2023-W13,2023-04-02,total,466.3673469387755,sentinel
Austria,AT,2023-W12,2023-03-26,0-4,2085.565467625899,sentinel
Austria,AT,2023-W12,2023-03-26,15-64,807.0215827338129,sentinel
Austria,AT,2023-W12,2023-03-26,5-14,1134.9841726618706,sentinel
Austria,AT,2023-W12,2023-03-26,65+,141.5654676258993,sentinel
Austria,AT,2023-W12,2023-03-26,total,843.0215827338129,sentinel
Austria,AT,2023-W11,2023-03-19,0-4,1436.652380952381,sentinel
Austria,AT,2023-W11,2023-03-19,15-64,872.8238095238096,sentinel
Austria,AT,2023-W11,2023-03-19,5-14,648.2666666666667,sentinel
Austria,AT,2023-W11,2023-03-19,65+,99.57619047619048,sentinel
Austria,AT,2023-W11,2023-03-19,total,759.4714285714286,sentinel
Austria,AT,2023-W10,2023-03-12,0-4,1263.061963190184,sentinel
Austria,AT,2023-W10,2023-03-12,15-64,814.9533742331288,sentinel
Austria,AT,2023-W10,2023-03-12,5-14,683.2288343558282,sentinel
Austria,AT,2023-W10,2023-03-12,65+,131.99693251533742,sentinel
Austria,AT,2023-W10,2023-03-12,total,720.2061349693251,sentinel
Austria,AT,2023-W09,2023-03-05,0-4,2184.754929577465,sentinel
Austria,AT,2023-W09,2023-03-05,15-64,671.1136150234743,sentinel
Austria,AT,2023-W09,2023-03-05,5-14,981.737089201878,sentinel
Austria,AT,2023-W09,2023-03-05,65+,83.45539906103286,sentinel
Austria,AT,2023-W09,2023-03-05,total,681.3802816901409,sentinel
Austria,AT,2023-W08,2023-02-26,0-4,1421.14161849711,sentinel
Austria,AT,2023-W08,2023-02-26,15-64,636.0693641618498,sentinel
Austria,AT,2023-W08,2023-02-26,5-14,857.3179190751446,sentinel
Austria,AT,2023-W08,2023-02-26,65+,254.8121387283237,sentinel
Austria,AT,2023-W08,2023-02-26,total,633.7832369942197,sentinel
Austria,AT,2023-W07,2023-02-19,0-4,920.6503225806453,sentinel
Austria,AT,2023-W07,2023-02-19,15-64,605.4606451612902,sentinel
Austria,AT,2023-W07,2023-02-19,5-14,359.7625806451613,sentinel
Austria,AT,2023-W07,2023-02-19,65+,120.0516129032258,sentinel
Austria,AT,2023-W07,2023-02-19,total,509.6258064516129,sentinel
Austria,AT,2023-W06,2023-02-12,0-4,719.0178010471204,sentinel
Austria,AT,2023-W06,2023-02-12,15-64,330.52408376963353,sentinel
Austria,AT,2023-W06,2023-02-12,5-14,240.5329842931937,sentinel
Austria,AT,2023-W06,2023-02-12,65+,209.6502617801047,sentinel
Austria,AT,2023-W06,2023-02-12,total,328.01884816753926,sentinel
Austria,AT,2023-W05,2023-02-05,0-4,643.689024390244,sentinel
Austria,AT,2023-W05,2023-02-05,15-64,349.8170731707317,sentinel
Austria,AT,2023-W05,2023-02-05,5-14,262.6219512195122,sentinel
Austria,AT,2023-W05,2023-02-05,65+,75.01524390243902,sentinel
Austria,AT,2023-W05,2023-02-05,total,315.9146341463415,sentinel
Austria,AT,2023-W04,2023-01-29,0-4,737.1509433962264,sentinel
Austria,AT,2023-W04,2023-01-29,15-64,371.6490566037736,sentinel
Austria,AT,2023-W04,2023-01-29,5-14,379.9698113207547,sentinel
Austria,AT,2023-W04,2023-01-29,65+,129.14150943396226,sentinel
Austria,AT,2023-W04,2023-01-29,total,363.41320754716975,sentinel
Austria,AT,2023-W03,2023-01-22,0-4,188.71127819548872,sentinel
Austria,AT,2023-W03,2023-01-22,15-64,112.00601503759398,sentinel
Austria,AT,2023-W03,2023-01-22,5-14,88.43909774436091,sentinel
Austria,AT,2023-W03,2023-01-22,65+,77.6390977443609,sentinel
Austria,AT,2023-W03,2023-01-22,total,108.74887218045112,sentinel
Austria,AT,2023-W02,2023-01-15,0-4,928.2184210526316,sentinel
Austria,AT,2023-W02,2023-01-15,15-64,767.0668421052632,sentinel
Austria,AT,2023-W02,2023-01-15,5-14,384.58,sentinel
Austria,AT,2023-W02,2023-01-15,65+,196.9078947368421,sentinel
Austria,AT,2023-W02,2023-01-15,total,615.8415789473685,sentinel
Austria,AT,2023-W01,2023-01-08,0-4,1485.0752,sentinel
Austria,AT,2023-W01,2023-01-08,15-64,1724.1728,sentinel
Austria,AT,2023-W01,2023-01-08,5-14,798.4256,sentinel
Austria,AT,2023-W01,2023-01-08,65+,827.3664,sentinel
Austria,AT,2023-W01,2023-01-08,total,1363.3984,sentinel
Austria,AT,2022-W52,2023-01-01,0-4,3702.8508064516127,sentinel
Austria,AT,2022-W52,2023-01-01,15-64,2714.9556451612902,sentinel
Austria,AT,2022-W52,2023-01-01,5-14,1629.6653225806451,sentinel
Austria,AT,2022-W52,2023-01-01,65+,847.0967741935483,sentinel
Austria,AT,2022-W52,2023-01-01,total,2301.838709677419,sentinel
Austria,AT,2022-W51,2022-12-25,0-4,1663.8397849462365,sentinel
Austria,AT,2022-W51,2022-12-25,15-64,3816.467741935484,sentinel
Austria,AT,2022-W51,2022-12-25,5-14,1696.9279569892471,sentinel
Austria,AT,2022-W51,2022-12-25,65+,974.941935483871,sentinel
Austria,AT,2022-W51,2022-12-25,total,2804.433333333333,sentinel
Austria,AT,2022-W50,2022-12-18,0-4,4406.590267639902,sentinel
Austria,AT,2022-W50,2022-12-18,15-64,4139.404866180049,sentinel
Austria,AT,2022-W50,2022-12-18,5-14,2715.110948905109,sentinel
Austria,AT,2022-W50,2022-12-18,65+,1031.3912408759122,sentinel
Austria,AT,2022-W50,2022-12-18,total,3387.185888077858,sentinel
Austria,AT,2022-W49,2022-12-11,0-4,2892.018181818182,sentinel
Austria,AT,2022-W49,2022-12-11,15-64,2231.436363636364,sentinel
Austria,AT,2022-W49,2022-12-11,5-14,2254.357575757576,sentinel
Austria,AT,2022-W49,2022-12-11,65+,673.7803030303031,sentinel
Austria,AT,2022-W49,2022-12-11,total,2037.5454545454547,sentinel
Austria,AT,2022-W48,2022-12-04,0-4,2131.0333333333333,sentinel
Austria,AT,2022-W48,2022-12-04,15-64,1552.5666666666666,sentinel
Austria,AT,2022-W48,2022-12-04,5-14,1249.5666666666666,sentinel
Austria,AT,2022-W48,2022-12-04,65+,380.23333333333335,sentinel
Austria,AT,2022-W48,2022-12-04,total,1368.4333333333334,sentinel
Austria,AT,2022-W47,2022-11-27,0-4,826.4833333333332,sentinel
Austria,AT,2022-W47,2022-11-27,15-64,447.6936507936508,sentinel
Austria,AT,2022-W47,2022-11-27,5-14,329.1253968253968,sentinel
Austria,AT,2022-W47,2022-11-27,65+,124.20793650793652,sentinel
Austria,AT,2022-W47,2022-11-27,total,410.6714285714286,sentinel
Austria,AT,2022-W46,2022-11-20,0-4,535.9069444444444,sentinel
Austria,AT,2022-W46,2022-11-20,15-64,238.47777777777776,sentinel
Austria,AT,2022-W46,2022-11-20,5-14,193.05,sentinel
Austria,AT,2022-W46,2022-11-20,65+,121.04444444444444,sentinel
Austria,AT,2022-W46,2022-11-20,total,240.6534722222222,sentinel
Austria,AT,2022-W45,2022-11-13,0-4,,sentinel
Austria,AT,2022-W45,2022-11-13,15-64,,sentinel
Austria,AT,2022-W45,2022-11-13,5-14,,sentinel
Austria,AT,2022-W45,2022-11-13,65+,,sentinel
Austria,AT,2022-W45,2022-11-13,total,,sentinel
Austria,AT,2022-W44,2022-11-06,0-4,,sentinel
Austria,AT,2022-W44,2022-11-06,15-64,,sentinel
Austria,AT,2022-W44,2022-11-06,5-14,,sentinel
Austria,AT,2022-W44,2022-11-06,65+,,sentinel
Austria,AT,2022-W44,2022-11-06,total,,sentinel
Austria,AT,2022-W43,2022-10-30,0-4,,sentinel
Austria,AT,2022-W43,2022-10-30,15-64,,sentinel
Austria,AT,2022-W43,2022-10-30,5-14,,sentinel
Austria,AT,2022-W43,2022-10-30,65+,,sentinel
Austria,AT,2022-W43,2022-10-30,total,,sentinel
Austria,AT,2022-W42,2022-10-23,0-4,,sentinel
Austria,AT,2022-W42,2022-10-23,15-64,,sentinel
Austria,AT,2022-W42,2022-10-23,5-14,,sentinel
Austria,AT,2022-W42,2022-10-23,65+,,sentinel
Austria,AT,2022-W42,2022-10-23,total,,sentinel
Austria,AT,2022-W41,2022-10-16,0-4,,sentinel
Austria,AT,2022-W41,2022-10-16,15-64,,sentinel
Austria,AT,2022-W41,2022-10-16,5-14,,sentinel
Austria,AT,2022-W41,2022-10-16,65+,,sentinel
Austria,AT,2022-W41,2022-10-16,total,,sentinel
Austria,AT,2022-W40,2022-10-09,0-4,,sentinel
Austria,AT,2022-W40,2022-10-09,15-64,,sentinel
Austria,AT,2022-W40,2022-10-09,5-14,,sentinel
Austria,AT,2022-W40,2022-10-09,65+,,sentinel
Austria,AT,2022-W40,2022-10-09,total,,sentinel
Austria,AT,2022-W15,2022-04-17,0-4,55.80970873786408,sentinel
Austria,AT,2022-W15,2022-04-17,15-64,203.8563106796116,sentinel
Austria,AT,2022-W15,2022-04-17,5-14,28.43495145631068,sentinel
Austria,AT,2022-W15,2022-04-17,65+,223.1029126213592,sentinel
Austria,AT,2022-W15,2022-04-17,total,146.9864077669903,sentinel
Austria,AT,2022-W14,2022-04-10,0-4,59.35416666666666,sentinel
Austria,AT,2022-W14,2022-04-10,15-64,389.84345238095233,sentinel
Austria,AT,2022-W14,2022-04-10,5-14,103.64404761904764,sentinel
Austria,AT,2022-W14,2022-04-10,65+,117.14464285714286,sentinel
Austria,AT,2022-W14,2022-04-10,total,265.9815476190476,sentinel
Austria,AT,2022-W13,2022-04-03,0-4,83.67407407407407,sentinel
Austria,AT,2022-W13,2022-04-03,15-64,317.9851851851852,sentinel
Austria,AT,2022-W13,2022-04-03,5-14,50.35061728395061,sentinel
Austria,AT,2022-W13,2022-04-03,65+,91.18024691358023,sentinel
Austria,AT,2022-W13,2022-04-03,total,206.3407407407407,sentinel
Austria,AT,2022-W12,2022-03-27,0-4,161.1103305785124,sentinel
Austria,AT,2022-W12,2022-03-27,15-64,248.2177685950413,sentinel
Austria,AT,2022-W12,2022-03-27,5-14,70.32644628099173,sentinel
Austria,AT,2022-W12,2022-03-27,65+,90.5276859504132,sentinel
Austria,AT,2022-W12,2022-03-27,total,177.699173553719,sentinel
Austria,AT,2022-W11,2022-03-20,0-4,43.99428571428571,sentinel
Austria,AT,2022-W11,2022-03-20,15-64,101.30857142857144,sentinel
Austria,AT,2022-W11,2022-03-20,5-14,25.994285714285716,sentinel
Austria,AT,2022-W11,2022-03-20,65+,43.36,sentinel
Austria,AT,2022-W11,2022-03-20,total,72.24571428571429,sentinel
Austria,AT,2022-W09,2022-03-06,0-4,24.5,sentinel
Austria,AT,2022-W09,2022-03-06,15-64,72.38636363636364,sentinel
Austria,AT,2022-W09,2022-03-06,5-14,12.477272727272728,sentinel
Austria,AT,2022-W09,2022-03-06,65+,19.527272727272727,sentinel
Austria,AT,2022-W09,2022-03-06,total,45.28181818181819,sentinel
Austria,AT,2022-W08,2022-02-27,0-4,3.5267175572519083,sentinel
Austria,AT,2022-W08,2022-02-27,15-64,37.78015267175572,sentinel
Austria,AT,2022-W08,2022-02-27,5-14,3.590839694656488,sentinel
Austria,AT,2022-W08,2022-02-27,65+,6.980152671755725,sentinel
Austria,AT,2022-W08,2022-02-27,total,23.13893129770992,sentinel
Austria,AT,2022-W07,2022-02-20,0-4,1.994244604316547,sentinel
Austria,AT,2022-W07,2022-02-20,15-64,31.558273381294967,sentinel
Austria,AT,2022-W07,2022-02-20,5-14,11.848920863309353,sentinel
Austria,AT,2022-W07,2022-02-20,65+,13.86043165467626,sentinel
Austria,AT,2022-W07,2022-02-20,total,22.48920863309353,sentinel
Austria,AT,2022-W06,2022-02-13,0-4,3.28883495145631,sentinel
Austria,AT,2022-W06,2022-02-13,15-64,7.241747572815533,sentinel
Austria,AT,2022-W06,2022-02-13,5-14,2.208252427184466,sentinel
Austria,AT,2022-W06,2022-02-13,65+,2.780582524271844,sentinel
Austria,AT,2022-W06,2022-02-13,total,5.116990291262135,sentinel
Austria,AT,2022-W05,2022-02-06,0-4,12.14408602150538,sentinel
