country,iso2_code,age_group,reference_year,total_deaths
Latvia,LV,65-69,2024,2474
Latvia,LV,70-74,2024,2873
Latvia,LV,75-79,2024,3104
Latvia,LV,80+,2024,12417
Liechtenstein,LI,<1,2024,0
Liechtenstein,LI,1-4,2024,0
Liechtenstein,LI,5-17,2024,1
Liechtenstein,LI,18-59,2024,28
Liechtenstein,LI,60-64,2024,16
Liechtenstein,LI,65-69,2024,20
Liechtenstein,LI,70-74,2024,34
Liechtenstein,LI,75-79,2024,51
Liechtenstein,LI,80+,2024,152
Lithuania,LT,<1,2024,56
Lithuania,LT,1-4,2024,16
Lithuania,LT,5-17,2024,55
Lithuania,LT,18-59,2024,5289
Lithuania,LT,60-64,2024,2920
Lithuania,LT,65-69,2024,3670
Lithuania,LT,70-74,2024,3889
Lithuania,LT,75-79,2024,4168
Lithuania,LT,80+,2024,17390
Luxembourg,LU,<1,2024,34
Luxembourg,LU,1-4,2024,2
Luxembourg,LU,5-17,2024,6
Luxembourg,LU,18-59,2024,435
Luxembourg,LU,60-64,2024,250
Luxembourg,LU,65-69,2024,323
Luxembourg,LU,70-74,2024,400
Luxembourg,LU,75-79,2024,496
Luxembourg,LU,80+,2024,2525
Malta,MT,<1,2024,22
Malta,MT,1-4,2024,6
Malta,MT,5-17,2024,4
Malta,MT,18-59,2024,312
Malta,MT,60-64,2024,200
Malta,MT,65-69,2024,282
Malta,MT,70-74,2024,429
Malta,MT,75-79,2024,748
Malta,MT,80+,2024,2178
Netherlands,NL,<1,2024,547
Netherlands,NL,1-4,2024,91
Netherlands,NL,5-17,2024,274
Netherlands,NL,18-59,2024,13202
Netherlands,NL,60-64,2024,8075
Netherlands,NL,65-69,2024,11966
Netherlands,NL,70-74,2024,17148
Netherlands,NL,75-79,2024,26052
Netherlands,NL,80+,2024,94810
Norway,NO,<1,2024,111
Norway,NO,1-4,2024,29
Norway,NO,5-17,2024,88
Norway,NO,18-59,2024,3595
Norway,NO,60-64,2024,1764
Norway,NO,65-69,2024,2856
