country,iso2_code,month,total_deaths,share_of_year,reference_year
Austria,AT,1,8620,0.09741654046967882,2024
Austria,AT,2,7840,0.08860158669168004,2024
Austria,AT,3,7325,0.08278145695364239,2024
Austria,AT,4,6730,0.07605722939222023,2024
Austria,AT,5,6911,0.07810275071762765,2024
Austria,AT,6,6604,0.07463327532038967,2024
Austria,AT,7,7044,0.07960581334900436,2024
Austria,AT,8,7217,0.08156092489207332,2024
Austria,AT,9,7083,0.0800465610379043,2024
Austria,AT,10,7865,0.08888411726148769,2024
Austria,AT,11,7374,0.08333521687046538,2024
Austria,AT,12,7873,0.08897452704382615,2024
Belgium,BE,1,11223,0.10011775410801263,2024
Belgium,BE,2,9787,0.08730753447875966,2024
Belgium,BE,3,9556,0.0852468375885386,2024
Belgium,BE,4,9095,0.08113436457385502,2024
Belgium,BE,5,8656,0.07721814840585915,2024
Belgium,BE,6,8765,0.07819051187353923,2024
Belgium,BE,7,8826,0.07873467858480972,2024
Belgium,BE,8,8691,0.0775303752074078,2024
Belgium,BE,9,8447,0.07535370836232583,2024
Belgium,BE,10,9393,0.08379275276989777,2024
Belgium,BE,11,9130,0.08144659137540367,2024
Belgium,BE,12,10529,0.09392674267159093,2024
Bulgaria,BG,1,9933,0.10038910505836576,2025
Bulgaria,BG,2,8553,0.08644196270655415,2025
Bulgaria,BG,3,8672,0.08764465106877559,2025
Bulgaria,BG,4,7948,0.08032745464652079,2025
Bulgaria,BG,5,8069,0.08155035625852747,2025
Bulgaria,BG,6,7732,0.0781444236697155,2025
Bulgaria,BG,7,8064,0.08149982313406438,2025
Bulgaria,BG,8,7442,0.07521350245085653,2025
Bulgaria,BG,9,7195,0.0727171661023801,2025
Bulgaria,BG,10,8255,0.08343018848855424,2025
Bulgaria,BG,11,8420,0.08509778159583607,2025
Bulgaria,BG,12,8662,0.08754358481984942,2025
Croatia,HR,1,5130,0.10043069694596711,2024
Croatia,HR,2,4536,0.08880187940485514,2024
Croatia,HR,3,4144,0.08112764291307753,2024
Croatia,HR,4,3910,0.07654659357870008,2024
Croatia,HR,5,3849,0.07535238841033673,2024
Croatia,HR,6,3829,0.07496084573218481,2024
Croatia,HR,7,4310,0.08437744714173845,2024
Croatia,HR,8,4348,0.0851213782302271,2024
Croatia,HR,9,4166,0.08155833985904463,2024
Croatia,HR,10,4235,0.08290916209866875,2024
Croatia,HR,11,4178,0.0817932654659358,2024
Croatia,HR,12,4445,0.0870203602192639,2024
Cyprus,CY,1,694,0.10276913964164075,2024
Cyprus,CY,2,592,0.08766474159632756,2024
Cyprus,CY,3,548,0.08114911891011402,2024
Cyprus,CY,4,478,0.0707833555456834,2024
Cyprus,CY,5,509,0.07537390789278839,2024
Cyprus,CY,6,532,0.07877980156967274,2024
Cyprus,CY,7,597,0.08840515326521546,2024
Cyprus,CY,8,551,0.08159336591144677,2024
Cyprus,CY,9,513,0.0759662372278987,2024
Cyprus,CY,10,504,0.07463349622390049,2024
Cyprus,CY,11,565,0.08366651858433288,2024
Cyprus,CY,12,670,0.09921516363097882,2024
Czechia,CZ,1,10610,0.09455400985643118,2024
Czechia,CZ,2,9861,0.0878790849381968,2024
Czechia,CZ,3,9223,0.08219336785163665,2024
Czechia,CZ,4,8688,0.07742556433861209,2024
Czechia,CZ,5,8715,0.07766618245983015,2024
Czechia,CZ,6,8678,0.07733644651593873,2024
Czechia,CZ,7,8968,0.07992086337346606,2024
Czechia,CZ,8,9097,0.08107048328595236,2024
Czechia,CZ,9,9058,0.08072292377752627,2024
Czechia,CZ,10,9961,0.08877026316493035,2024
Czechia,CZ,11,9175,0.08176560230280454,2024
Czechia,CZ,12,10177,0.09069520813467485,2024
Denmark,DK,1,5521,0.09673914948047169,2024
Denmark,DK,2,4755,0.0833172714688721,2024
Denmark,DK,3,4807,0.0842284172346726,2024
Denmark,DK,4,4642,0.0813372816316518,2024
Denmark,DK,5,4586,0.0803560477300205,2024
Denmark,DK,6,4368,0.0765362443272415,2024
Denmark,DK,7,4570,0.08007569518669727,2024
Denmark,DK,8,4639,0.0812847155297787,2024
Denmark,DK,9,4501,0.07886667484361584,2024
Denmark,DK,10,4783,0.08380788841968775,2024
Denmark,DK,11,4838,0.08477160028736136,2024
Denmark,DK,12,5061,0.08867901385992887,2024
Estonia,EE,1,1660,0.10535668951510535,2024
Estonia,EE,2,1340,0.08504696623508505,2024
Estonia,EE,3,1354,0.08593551662858594,2024
Estonia,EE,4,1252,0.07946179233307946,2024
Estonia,EE,5,1261,0.08003300330033003,2024
Estonia,EE,6,1197,0.07597105864432598,2024
Estonia,EE,7,1165,0.07394008631632394,2024
Estonia,EE,8,1238,0.07857324193957857,2024
Estonia,EE,9,1209,0.07673267326732673,2024
Estonia,EE,10,1402,0.08898197512058899,2024
Estonia,EE,11,1329,0.08434881949733435,2024
Estonia,EE,12,1349,0.08561817720233562,2024
Finland,FI,1,5440,0.09100490155076367,2025
Finland,FI,2,4613,0.07717014905398398,2025
Finland,FI,3,5253,0.08787660805995617,2025
Finland,FI,4,5083,0.08503270488649481,2025
Finland,FI,5,5026,0.08407916088127541,2025
Finland,FI,6,4467,0.07472773809324657,2025
Finland,FI,7,4755,0.07954564464593405,2025
Finland,FI,8,4721,0.07897686401124178,2025
Finland,FI,9,4649,0.0777723873730699,2025
Finland,FI,10,5070,0.084815229937936,2025
Finland,FI,11,5200,0.0869899794235241,2025
Finland,FI,12,5500,0.09200863208257357,2025
France,FR,1,64542,0.10032456025815598,2024
France,FR,2,54928,0.08538048783520795,2024
France,FR,3,54346,0.08447582274781916,2024
France,FR,4,50608,0.07866544801129122,2024
France,FR,5,50662,0.07874938600909018,2024
France,FR,6,49648,0.07717321693930972,2024
France,FR,7,49966,0.07766751848190359,2024
France,FR,8,49507,0.07695404550061244,2024
France,FR,9,49504,0.07694938227851249,2024
France,FR,10,55690,0.08656494624859326,2024
France,FR,11,52878,0.0821939527335808,2024
France,FR,12,61053,0.09490123295592323,2024
Germany,DE,1,96569,0.0958255851107111,2024
Germany,DE,2,87716,0.08704073795494553,2024
Germany,DE,3,84829,0.08417596287997714,2024
Germany,DE,4,79856,0.07924124641034852,2024
Germany,DE,5,80703,0.08008172596992531,2024
Germany,DE,6,77520,0.0769232295848805,2024
Germany,DE,7,78154,0.07755234887740906,2024
Germany,DE,8,78743,0.07813681459239222,2024
Germany,DE,9,78907,0.07829955207500214,2024
Germany,DE,10,86885,0.08621613522294043,2024
Germany,DE,11,86259,0.08559495434419771,2024
Germany,DE,12,91617,0.09091170697727034,2024
Greece,GR,1,12509,0.09937794443605856,2024
Greece,GR,2,10266,0.0815583961612101,2024
Greece,GR,3,9997,0.0794213214907089,2024
Greece,GR,4,9224,0.07328021100633178,2024
Greece,GR,5,9751,0.07746697067679327,2024
Greece,GR,6,10258,0.08149484003718033,2024
Greece,GR,7,12131,0.09637491757565166,2024
Greece,GR,8,10847,0.0861741596688726,2024
Greece,GR,9,9524,0.07566356565744838,2024
Greece,GR,10,9727,0.07727630230470395,2024
Greece,GR,11,10444,0.08297251992087262,2024
Greece,GR,12,11195,0.08893885106416785,2024
Hungary,HU,1,12152,0.09487894190304422,2024
Hungary,HU,2,11088,0.08657156910969012,2024
Hungary,HU,3,10753,0.08395599590877505,2024
Hungary,HU,4,9842,0.07684319833852545,2024
Hungary,HU,5,9923,0.07747562051546311,2024
Hungary,HU,6,9432,0.07364204904785328,2024
Hungary,HU,7,10800,0.08432295692502284,2024
Hungary,HU,8,10478,0.08180888357966568,2024
Hungary,HU,9,10040,0.0783891192154842,2024
Hungary,HU,10,11117,0.0867979918643962,2024
Hungary,HU,11,10718,0.08368272706688841,2024
Hungary,HU,12,11736,0.09163094652519148,2024
Iceland,IS,1,256,0.09819716148830072,2024
Iceland,IS,2,193,0.07403145377828922,2024
Iceland,IS,3,246,0.09436133486766399,2024
Iceland,IS,4,203,0.07786728039892597,2024
Iceland,IS,5,214,0.08208668968162638,2024
Iceland,IS,6,206,0.079018028385117,2024
Iceland,IS,7,195,0.07479861910241657,2024
Iceland,IS,8,218,0.08362102032988109,2024
Iceland,IS,9,209,0.08016877637130802,2024
Iceland,IS,10,232,0.08899117759877254,2024
Iceland,IS,11,209,0.08016877637130802,2024
Iceland,IS,12,226,0.08668968162639049,2024
Ireland,IE,1,3505,0.10005709391949758,2024
Ireland,IE,2,2968,0.08472737653439909,2024
Ireland,IE,3,3130,0.08935198401370253,2024
Ireland,IE,4,2817,0.08041678561233229,2024
Ireland,IE,5,2812,0.08027405081358835,2024
Ireland,IE,6,2727,0.07784755923494148,2024
Ireland,IE,7,2795,0.07978875249785898,2024
Ireland,IE,8,2713,0.07744790179845847,2024
Ireland,IE,9,2684,0.07662003996574365,2024
Ireland,IE,10,2816,0.0803882386525835,2024
Ireland,IE,11,2770,0.0790750785041393,2024
Ireland,IE,12,3293,0.09400513845275478,2024
Italy,IT,1,66074,0.10116841139840363,2024
Italy,IT,2,53749,0.08229713570016643,2024
Italy,IT,3,53521,0.0819480362389739,2024
Italy,IT,4,50224,0.07689987429357122,2024
Italy,IT,5,50865,0.07788133374367831,2024
Italy,IT,6,48193,0.07379013304057976,2024
Italy,IT,7,54003,0.08268604474903883,2024
Italy,IT,8,56148,0.08597033573262657,2024
Italy,IT,9,51298,0.07854431649234661,2024
Italy,IT,10,54648,0.08367362875109667,2024
Italy,IT,11,54660,0.08369200240694892,2024
Italy,IT,12,59726,0.09144874745256917,2024
Latvia,LV,1,2733,0.10250928322268482,2024
Latvia,LV,2,2378,0.08919395371516448,2024
Latvia,LV,3,2351,0.08818123851318405,2024
Latvia,LV,4,2069,0.07760399084805521,2024
Latvia,LV,5,2149,0.08060462848355275,2024
Latvia,LV,6,2058,0.0771914031731743,2024
Latvia,LV,7,2007,0.07527849668054462,2024
Latvia,LV,8,2039,0.07647875173474364,2024
Latvia,LV,9,1993,0.07475338509433255,2024
Latvia,LV,10,2368,0.08881887401072729,2024
Latvia,LV,11,2192,0.08221747121263269,2024
Latvia,LV,12,2324,0.08716852331120363,2024
Liechtenstein,LI,1,22,0.0728476821192053,2024
Liechtenstein,LI,2,30,0.09933774834437085,2024
Liechtenstein,LI,3,26,0.08609271523178808,2024
Liechtenstein,LI,4,28,0.09271523178807947,2024
Liechtenstein,LI,5,27,0.08940397350993377,2024
Liechtenstein,LI,6,29,0.09602649006622517,2024
Liechtenstein,LI,7,20,0.06622516556291391,2024
Liechtenstein,LI,8,20,0.06622516556291391,2024
Liechtenstein,LI,9,32,0.10596026490066225,2024
Liechtenstein,LI,10,26,0.08609271523178808,2024
Liechtenstein,LI,11,21,0.0695364238410596,2024
Liechtenstein,LI,12,21,0.0695364238410596,2024
Lithuania,LT,1,3611,0.09635500053367489,2025
Lithuania,LT,2,3164,0.08442736684811612,2025
Lithuania,LT,3,3417,0.09117835414665386,2025
Lithuania,LT,4,3041,0.08114526630376774,2025
Lithuania,LT,5,2847,0.07596861991674672,2025
Lithuania,LT,6,2816,0.07514142384459388,2025
Lithuania,LT,7,2968,0.07919735297256911,2025
Lithuania,LT,8,2676,0.07140569964777457,2025
Lithuania,LT,9,3065,0.08178567616607962,2025
Lithuania,LT,10,3114,0.08309317963496637,2025
Lithuania,LT,11,3345,0.08925712455971822,2025
Lithuania,LT,12,3412,0.09104493542533888,2025
Luxembourg,LU,1,392,0.08767613509282039,2024
Luxembourg,LU,2,383,0.08566316260344442,2024
Luxembourg,LU,3,403,0.0901364348020577,2024
Luxembourg,LU,4,363,0.08118989040483113,2024
Luxembourg,LU,5,335,0.07492730932677254,2024
Luxembourg,LU,6,341,0.07626929098635651,2024
Luxembourg,LU,7,374,0.08365019011406843,2024
Luxembourg,LU,8,330,0.0738089912771192,2024
Luxembourg,LU,9,368,0.08230820845448446,2024
Luxembourg,LU,10,393,0.08789979870275107,2024
Luxembourg,LU,11,358,0.08007157235517781,2024
Luxembourg,LU,12,431,0.0963990158801163,2024
Malta,MT,1,426,0.10292341145204155,2025
Malta,MT,2,352,0.08504469678666345,2025
Malta,MT,3,388,0.09374244986711766,2025
Malta,MT,4,336,0.08117902875090602,2025
Malta,MT,5,315,0.0761053394539744,2025
Malta,MT,6,343,0.08287025851654989,2025
Malta,MT,7,367,0.08866876057018604,2025
Malta,MT,8,336,0.08117902875090602,2025
Malta,MT,9,283,0.06837400338245953,2025
Malta,MT,10,319,0.07707175646291375,2025
Malta,MT,11,300,0.0724812756704518,2025
Malta,MT,12,374,0.0903599903358299,2025
Netherlands,NL,1,16827,0.0977376354078936,2024
Netherlands,NL,2,15213,0.08836290767577615,2024
Netherlands,NL,3,15248,0.08856620102808352,2024
Netherlands,NL,4,14291,0.08300757993785032,2024
