country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
Croatia,total,2025-11-16,2025-W46,46,2025,160
Croatia,total,2025-11-23,2025-W47,47,2025,189
Croatia,total,2025-11-30,2025-W48,48,2025,220
Croatia,total,2025-12-07,2025-W49,49,2025,225
Croatia,total,2025-12-14,2025-W50,50,2025,234
Croatia,total,2025-12-21,2025-W51,51,2025,217
Croatia,total,2025-12-28,2025-W52,52,2025,196
Croatia,total,2026-01-04,2026-W1,1,2026,172
Croatia,total,2026-01-11,2026-W2,2,2026,130
Croatia,total,2026-01-18,2026-W3,3,2026,103
Croatia,total,2026-01-25,2026-W4,4,2026,90
Croatia,total,2026-02-01,2026-W5,5,2026,79
Croatia,total,2026-02-08,2026-W6,6,2026,68
Croatia,total,2026-02-15,2026-W7,7,2026,60
Croatia,total,2026-02-22,2026-W8,8,2026,56
Croatia,total,2026-03-01,2026-W9,9,2026,48
Croatia,total,2026-03-08,2026-W10,10,2026,38
Croatia,total,2026-03-15,2026-W11,11,2026,36
Croatia,total,2026-03-22,2026-W12,12,2026,27
Croatia,total,2026-03-29,2026-W13,13,2026,25
Croatia,total,2026-04-05,2026-W14,14,2026,20
Croatia,total,2026-04-12,2026-W15,15,2026,16
Croatia,total,2026-04-19,2026-W16,16,2026,16
Croatia,total,2026-04-26,2026-W17,17,2026,11
Croatia,total,2026-05-03,2026-W18,18,2026,11
Cyprus,total,2025-09-07,2025-W36,36,2025,0
Cyprus,total,2025-09-14,2025-W37,37,2025,0
Cyprus,total,2025-09-21,2025-W38,38,2025,0
Cyprus,total,2025-09-28,2025-W39,39,2025,0
Cyprus,total,2025-10-05,2025-W40,40,2025,1
Cyprus,total,2025-10-12,2025-W41,41,2025,3
Cyprus,total,2025-10-19,2025-W42,42,2025,6
Cyprus,total,2025-10-26,2025-W43,43,2025,14
Cyprus,total,2025-11-02,2025-W44,44,2025,20
Cyprus,total,2025-11-09,2025-W45,45,2025,29
Cyprus,total,2025-11-16,2025-W46,46,2025,38
Cyprus,total,2025-11-23,2025-W47,47,2025,49
Cyprus,total,2025-11-30,2025-W48,48,2025,57
Cyprus,total,2025-12-07,2025-W49,49,2025,58
Cyprus,total,2025-12-14,2025-W50,50,2025,59
Cyprus,total,2025-12-21,2025-W51,51,2025,56
Cyprus,total,2025-12-28,2025-W52,52,2025,51
Cyprus,total,2026-01-04,2026-W1,1,2026,43
