country,age_group,start_date,end_date,total_rsv_hospitalisations
Finland,3-5mo,2025-09-01,2026-05-03,445
Finland,6-11mo,2025-09-01,2026-05-03,333
Finland,1-4y,2025-09-01,2026-05-03,527
Finland,5-64y,2025-09-01,2026-05-03,17
Finland,65+y,2025-09-01,2026-05-03,1171
France,0-2mo,2025-09-01,2026-05-03,16265
France,3-5mo,2025-09-01,2026-05-03,7705
France,6-11mo,2025-09-01,2026-05-03,8536
France,1-4y,2025-09-01,2026-05-03,8231
France,5-64y,2025-09-01,2026-05-03,1907
France,65+y,2025-09-01,2026-05-03,20001
Germany,0-2mo,2025-09-01,2026-05-03,13140
Germany,3-5mo,2025-09-01,2026-05-03,6474
Germany,6-11mo,2025-09-01,2026-05-03,6097
Germany,1-4y,2025-09-01,2026-05-03,9315
Germany,5-64y,2025-09-01,2026-05-03,1723
Germany,65+y,2025-09-01,2026-05-03,24403
Greece,0-2mo,2025-09-01,2026-05-03,1541
Greece,3-5mo,2025-09-01,2026-05-03,730
Greece,6-11mo,2025-09-01,2026-05-03,705
Greece,1-4y,2025-09-01,2026-05-03,813
Greece,5-64y,2025-09-01,2026-05-03,262
Greece,65+y,2025-09-01,2026-05-03,3607
Hungary,0-2mo,2025-09-01,2026-05-03,1679
Hungary,3-5mo,2025-09-01,2026-05-03,893
Hungary,6-11mo,2025-09-01,2026-05-03,841
Hungary,1-4y,2025-09-01,2026-05-03,1146
Hungary,5-64y,2025-09-01,2026-05-03,244
Hungary,65+y,2025-09-01,2026-05-03,2597
Ireland,0-2mo,2025-09-01,2026-05-03,957
Ireland,3-5mo,2025-09-01,2026-05-03,603
Ireland,6-11mo,2025-09-01,2026-05-03,587
Ireland,1-4y,2025-09-01,2026-05-03,930
Ireland,5-64y,2025-09-01,2026-05-03,247
Ireland,65+y,2025-09-01,2026-05-03,1236
Italy,0-2mo,2025-09-01,2026-05-03,7862
Italy,3-5mo,2025-09-01,2026-05-03,3549
Italy,6-11mo,2025-09-01,2026-05-03,3549
Italy,1-4y,2025-09-01,2026-05-03,4105
Italy,5-64y,2025-09-01,2026-05-03,1608
Italy,65+y,2025-09-01,2026-05-03,19327
Latvia,0-2mo,2025-09-01,2026-05-03,287
Latvia,3-5mo,2025-09-01,2026-05-03,141
Latvia,6-11mo,2025-09-01,2026-05-03,116
Latvia,1-4y,2025-09-01,2026-05-03,166
Latvia,5-64y,2025-09-01,2026-05-03,18
Latvia,65+y,2025-09-01,2026-05-03,518
Lithuania,0-2mo,2025-09-01,2026-05-03,403
Lithuania,3-5mo,2025-09-01,2026-05-03,190
Lithuania,6-11mo,2025-09-01,2026-05-03,162
Lithuania,1-4y,2025-09-01,2026-05-03,205
Lithuania,5-64y,2025-09-01,2026-05-03,36
Lithuania,65+y,2025-09-01,2026-05-03,800
Luxembourg,0-2mo,2025-09-01,2026-05-03,79
Luxembourg,3-5mo,2025-09-01,2026-05-03,36
Luxembourg,6-11mo,2025-09-01,2026-05-03,27
Luxembourg,1-4y,2025-09-01,2026-05-03,49
Luxembourg,5-64y,2025-09-01,2026-05-03,11
Luxembourg,65+y,2025-09-01,2026-05-03,116
Malta,0-2mo,2025-09-01,2026-05-03,46
Malta,3-5mo,2025-09-01,2026-05-03,20
Malta,6-11mo,2025-09-01,2026-05-03,23
Malta,1-4y,2025-09-01,2026-05-03,32
Malta,5-64y,2025-09-01,2026-05-03,4
Malta,65+y,2025-09-01,2026-05-03,101
Netherlands,0-2mo,2025-09-01,2026-05-03,2001
Netherlands,3-5mo,2025-09-01,2026-05-03,776
Netherlands,6-11mo,2025-09-01,2026-05-03,656
Netherlands,1-4y,2025-09-01,2026-05-03,980
Netherlands,5-64y,2025-09-01,2026-05-03,481
Netherlands,65+y,2025-09-01,2026-05-03,4043
Norway,0-2mo,2025-09-01,2026-05-03,742
Norway,3-5mo,2025-09-01,2026-05-03,433
Norway,6-11mo,2025-09-01,2026-05-03,339
Norway,1-4y,2025-09-01,2026-05-03,737
Norway,5-64y,2025-09-01,2026-05-03,167
Norway,65+y,2025-09-01,2026-05-03,1760
Poland,0-2mo,2025-09-01,2026-05-03,5193
Poland,3-5mo,2025-09-01,2026-05-03,2530
Poland,6-11mo,2025-09-01,2026-05-03,2349
Poland,1-4y,2025-09-01,2026-05-03,3661
Poland,5-64y,2025-09-01,2026-05-03,1030
Poland,65+y,2025-09-01,2026-05-03,9826
Portugal,0-2mo,2025-09-01,2026-05-03,1421
Portugal,3-5mo,2025-09-01,2026-05-03,613
Portugal,6-11mo,2025-09-01,2026-05-03,600
Portugal,1-4y,2025-09-01,2026-05-03,899
Portugal,5-64y,2025-09-01,2026-05-03,259
Portugal,65+y,2025-09-01,2026-05-03,3532
Romania,0-2mo,2025-09-01,2026-05-03,2966
Romania,3-5mo,2025-09-01,2026-05-03,1525
Romania,6-11mo,2025-09-01,2026-05-03,1663
Romania,1-4y,2025-09-01,2026-05-03,1833
Romania,5-64y,2025-09-01,2026-05-03,791
Romania,65+y,2025-09-01,2026-05-03,5597
Slovakia,0-2mo,2025-09-01,2026-05-03,979
Slovakia,3-5mo,2025-09-01,2026-05-03,509
Slovakia,6-11mo,2025-09-01,2026-05-03,460
Slovakia,1-4y,2025-09-01,2026-05-03,577
Slovakia,5-64y,2025-09-01,2026-05-03,127
Slovakia,65+y,2025-09-01,2026-05-03,1364
Slovenia,0-2mo,2025-09-01,2026-05-03,324
Slovenia,3-5mo,2025-09-01,2026-05-03,154
Slovenia,6-11mo,2025-09-01,2026-05-03,131
Slovenia,1-4y,2025-09-01,2026-05-03,199
Slovenia,5-64y,2025-09-01,2026-05-03,22
Slovenia,65+y,2025-09-01,2026-05-03,504
Spain,0-2mo,2025-09-01,2026-05-03,5572
Spain,3-5mo,2025-09-01,2026-05-03,2473
Spain,6-11mo,2025-09-01,2026-05-03,2695
Spain,1-4y,2025-09-01,2026-05-03,2566
Spain,5-64y,2025-09-01,2026-05-03,1021
Spain,65+y,2025-09-01,2026-05-03,12107
Sweden,0-2mo,2025-09-01,2026-05-03,1668
Sweden,3-5mo,2025-09-01,2026-05-03,926
Sweden,6-11mo,2025-09-01,2026-05-03,793
Sweden,1-4y,2025-09-01,2026-05-03,1426
Sweden,5-64y,2025-09-01,2026-05-03,340
Sweden,65+y,2025-09-01,2026-05-03,2917
