survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W02,2022-01-16,deaths,total,69
non-sentinel,Austria,AT,2022-W01,2022-01-09,deaths,0-4,0
non-sentinel,Austria,AT,2022-W01,2022-01-09,deaths,15-64,18
non-sentinel,Austria,AT,2022-W01,2022-01-09,deaths,5-14,0
non-sentinel,Austria,AT,2022-W01,2022-01-09,deaths,65+,73
non-sentinel,Austria,AT,2022-W01,2022-01-09,deaths,total,91
non-sentinel,Austria,AT,2021-W52,2022-01-02,deaths,0-4,0
non-sentinel,Austria,AT,2021-W52,2022-01-02,deaths,15-64,26
non-sentinel,Austria,AT,2021-W52,2022-01-02,deaths,5-14,0
non-sentinel,Austria,AT,2021-W52,2022-01-02,deaths,65+,102
non-sentinel,Austria,AT,2021-W52,2022-01-02,deaths,total,128
non-sentinel,Austria,AT,2021-W51,2021-12-26,deaths,0-4,0
non-sentinel,Austria,AT,2021-W51,2021-12-26,deaths,15-64,20
non-sentinel,Austria,AT,2021-W51,2021-12-26,deaths,5-14,1
non-sentinel,Austria,AT,2021-W51,2021-12-26,deaths,65+,151
non-sentinel,Austria,AT,2021-W51,2021-12-26,deaths,total,172
non-sentinel,Austria,AT,2021-W50,2021-12-19,deaths,0-4,0
non-sentinel,Austria,AT,2021-W50,2021-12-19,deaths,15-64,39
non-sentinel,Austria,AT,2021-W50,2021-12-19,deaths,5-14,0
non-sentinel,Austria,AT,2021-W50,2021-12-19,deaths,65+,242
non-sentinel,Austria,AT,2021-W50,2021-12-19,deaths,total,281
non-sentinel,Austria,AT,2021-W49,2021-12-12,deaths,0-4,0
non-sentinel,Austria,AT,2021-W49,2021-12-12,deaths,15-64,51
non-sentinel,Austria,AT,2021-W49,2021-12-12,deaths,5-14,0
non-sentinel,Austria,AT,2021-W49,2021-12-12,deaths,65+,355
non-sentinel,Austria,AT,2021-W49,2021-12-12,deaths,total,406
non-sentinel,Austria,AT,2021-W48,2021-12-05,deaths,0-4,1
non-sentinel,Austria,AT,2021-W48,2021-12-05,deaths,15-64,74
non-sentinel,Austria,AT,2021-W48,2021-12-05,deaths,5-14,0
non-sentinel,Austria,AT,2021-W48,2021-12-05,deaths,65+,405
non-sentinel,Austria,AT,2021-W48,2021-12-05,deaths,total,480
non-sentinel,Austria,AT,2021-W47,2021-11-28,deaths,0-4,0
non-sentinel,Austria,AT,2021-W47,2021-11-28,deaths,15-64,60
non-sentinel,Austria,AT,2021-W47,2021-11-28,deaths,5-14,0
non-sentinel,Austria,AT,2021-W47,2021-11-28,deaths,65+,421
non-sentinel,Austria,AT,2021-W47,2021-11-28,deaths,total,481
non-sentinel,Austria,AT,2021-W46,2021-11-21,deaths,0-4,0
non-sentinel,Austria,AT,2021-W46,2021-11-21,deaths,15-64,49
non-sentinel,Austria,AT,2021-W46,2021-11-21,deaths,5-14,0
non-sentinel,Austria,AT,2021-W46,2021-11-21,deaths,65+,346
non-sentinel,Austria,AT,2021-W46,2021-11-21,deaths,total,395
non-sentinel,Austria,AT,2021-W45,2021-11-14,deaths,0-4,0
non-sentinel,Austria,AT,2021-W45,2021-11-14,deaths,15-64,37
non-sentinel,Austria,AT,2021-W45,2021-11-14,deaths,5-14,0
non-sentinel,Austria,AT,2021-W45,2021-11-14,deaths,65+,297
non-sentinel,Austria,AT,2021-W45,2021-11-14,deaths,total,334
non-sentinel,Austria,AT,2021-W44,2021-11-07,deaths,0-4,1
non-sentinel,Austria,AT,2021-W44,2021-11-07,deaths,15-64,24
non-sentinel,Austria,AT,2021-W44,2021-11-07,deaths,5-14,0
non-sentinel,Austria,AT,2021-W44,2021-11-07,deaths,65+,183
non-sentinel,Austria,AT,2021-W44,2021-11-07,deaths,total,208
non-sentinel,Austria,AT,2021-W43,2021-10-31,deaths,0-4,0
non-sentinel,Austria,AT,2021-W43,2021-10-31,deaths,15-64,17
non-sentinel,Austria,AT,2021-W43,2021-10-31,deaths,5-14,0
non-sentinel,Austria,AT,2021-W43,2021-10-31,deaths,65+,124
non-sentinel,Austria,AT,2021-W43,2021-10-31,deaths,total,141
non-sentinel,Austria,AT,2021-W42,2021-10-24,deaths,0-4,0
non-sentinel,Austria,AT,2021-W42,2021-10-24,deaths,15-64,16
non-sentinel,Austria,AT,2021-W42,2021-10-24,deaths,5-14,0
non-sentinel,Austria,AT,2021-W42,2021-10-24,deaths,65+,96
non-sentinel,Austria,AT,2021-W42,2021-10-24,deaths,total,112
non-sentinel,Austria,AT,2021-W41,2021-10-17,deaths,0-4,0
non-sentinel,Austria,AT,2021-W41,2021-10-17,deaths,15-64,17
non-sentinel,Austria,AT,2021-W41,2021-10-17,deaths,5-14,0
non-sentinel,Austria,AT,2021-W41,2021-10-17,deaths,65+,89
non-sentinel,Austria,AT,2021-W41,2021-10-17,deaths,total,106
non-sentinel,Austria,AT,2021-W40,2021-10-10,deaths,0-4,0
non-sentinel,Austria,AT,2021-W40,2021-10-10,deaths,15-64,15
non-sentinel,Austria,AT,2021-W40,2021-10-10,deaths,5-14,0
non-sentinel,Austria,AT,2021-W40,2021-10-10,deaths,65+,58
non-sentinel,Austria,AT,2021-W40,2021-10-10,deaths,total,73
non-sentinel,Austria,AT,2021-W39,2021-10-03,deaths,0-4,0
non-sentinel,Austria,AT,2021-W39,2021-10-03,deaths,15-64,18
non-sentinel,Austria,AT,2021-W39,2021-10-03,deaths,5-14,0
non-sentinel,Austria,AT,2021-W39,2021-10-03,deaths,65+,62
non-sentinel,Austria,AT,2021-W39,2021-10-03,deaths,total,80
non-sentinel,Austria,AT,2021-W38,2021-09-26,deaths,0-4,0
non-sentinel,Austria,AT,2021-W38,2021-09-26,deaths,15-64,9
non-sentinel,Austria,AT,2021-W38,2021-09-26,deaths,5-14,0
