survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W48,2022-12-04,deaths,0-4,0
non-sentinel,Austria,AT,2022-W48,2022-12-04,deaths,15-64,5
non-sentinel,Austria,AT,2022-W48,2022-12-04,deaths,5-14,0
non-sentinel,Austria,AT,2022-W48,2022-12-04,deaths,65+,48
non-sentinel,Austria,AT,2022-W48,2022-12-04,deaths,total,53
non-sentinel,Austria,AT,2022-W47,2022-11-27,deaths,0-4,0
non-sentinel,Austria,AT,2022-W47,2022-11-27,deaths,15-64,4
non-sentinel,Austria,AT,2022-W47,2022-11-27,deaths,5-14,0
non-sentinel,Austria,AT,2022-W47,2022-11-27,deaths,65+,39
non-sentinel,Austria,AT,2022-W47,2022-11-27,deaths,total,43
non-sentinel,Austria,AT,2022-W46,2022-11-20,deaths,0-4,0
non-sentinel,Austria,AT,2022-W46,2022-11-20,deaths,15-64,6
non-sentinel,Austria,AT,2022-W46,2022-11-20,deaths,5-14,0
non-sentinel,Austria,AT,2022-W46,2022-11-20,deaths,65+,49
non-sentinel,Austria,AT,2022-W46,2022-11-20,deaths,total,55
non-sentinel,Austria,AT,2022-W45,2022-11-13,deaths,0-4,0
non-sentinel,Austria,AT,2022-W45,2022-11-13,deaths,15-64,3
non-sentinel,Austria,AT,2022-W45,2022-11-13,deaths,5-14,0
non-sentinel,Austria,AT,2022-W45,2022-11-13,deaths,65+,50
non-sentinel,Austria,AT,2022-W45,2022-11-13,deaths,total,53
non-sentinel,Austria,AT,2022-W44,2022-11-06,deaths,0-4,0
non-sentinel,Austria,AT,2022-W44,2022-11-06,deaths,15-64,2
non-sentinel,Austria,AT,2022-W44,2022-11-06,deaths,5-14,0
non-sentinel,Austria,AT,2022-W44,2022-11-06,deaths,65+,50
non-sentinel,Austria,AT,2022-W44,2022-11-06,deaths,total,52
non-sentinel,Austria,AT,2022-W43,2022-10-30,deaths,0-4,0
non-sentinel,Austria,AT,2022-W43,2022-10-30,deaths,15-64,4
non-sentinel,Austria,AT,2022-W43,2022-10-30,deaths,5-14,0
non-sentinel,Austria,AT,2022-W43,2022-10-30,deaths,65+,72
non-sentinel,Austria,AT,2022-W43,2022-10-30,deaths,total,76
non-sentinel,Austria,AT,2022-W42,2022-10-23,deaths,0-4,0
non-sentinel,Austria,AT,2022-W42,2022-10-23,deaths,15-64,7
non-sentinel,Austria,AT,2022-W42,2022-10-23,deaths,5-14,0
non-sentinel,Austria,AT,2022-W42,2022-10-23,deaths,65+,72
non-sentinel,Austria,AT,2022-W42,2022-10-23,deaths,total,79
non-sentinel,Austria,AT,2022-W41,2022-10-16,deaths,0-4,0
non-sentinel,Austria,AT,2022-W41,2022-10-16,deaths,15-64,5
non-sentinel,Austria,AT,2022-W41,2022-10-16,deaths,5-14,0
non-sentinel,Austria,AT,2022-W41,2022-10-16,deaths,65+,82
non-sentinel,Austria,AT,2022-W41,2022-10-16,deaths,total,87
non-sentinel,Austria,AT,2022-W40,2022-10-09,deaths,0-4,0
non-sentinel,Austria,AT,2022-W40,2022-10-09,deaths,15-64,8
non-sentinel,Austria,AT,2022-W40,2022-10-09,deaths,5-14,0
non-sentinel,Austria,AT,2022-W40,2022-10-09,deaths,65+,95
non-sentinel,Austria,AT,2022-W40,2022-10-09,deaths,total,103
non-sentinel,Austria,AT,2022-W39,2022-10-02,deaths,0-4,0
non-sentinel,Austria,AT,2022-W39,2022-10-02,deaths,15-64,3
non-sentinel,Austria,AT,2022-W39,2022-10-02,deaths,5-14,0
non-sentinel,Austria,AT,2022-W39,2022-10-02,deaths,65+,44
non-sentinel,Austria,AT,2022-W39,2022-10-02,deaths,total,47
non-sentinel,Austria,AT,2022-W38,2022-09-25,deaths,0-4,0
non-sentinel,Austria,AT,2022-W38,2022-09-25,deaths,15-64,3
non-sentinel,Austria,AT,2022-W38,2022-09-25,deaths,5-14,0
non-sentinel,Austria,AT,2022-W38,2022-09-25,deaths,65+,35
non-sentinel,Austria,AT,2022-W38,2022-09-25,deaths,total,38
non-sentinel,Austria,AT,2022-W37,2022-09-18,deaths,0-4,0
